"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2018","12","Butler","6,074,415","0","0","6,074,415","282","31,827","1,475,488","6,453,352","44,685","497,548","364,249","474,108","15,415,954","3,100,134","2,727,301","2,665","21,246,054",
"2023","34","FLOYD","8,850,675","0","539,233","8,311,442","481","68,439","2,161,730","7,491,936","70,635","531,389","910,781","656,327","20,203,160","0","1,586,855","0","21,790,015",
"2013","41","HANCOCK","4,541,067","0","173,834","4,367,233","2,739","40,347","533,374","3,933,320","18,403","456,616","244,079","240,916","9,837,027","0","1,989,500","0","11,826,527",
"2011","24","CRAWFORD","6,805,857","6,269","254,893","6,544,695","6,471","56,445","860,678","8,040,070","23,155","757,054","121,905","221,111","16,631,584","0","1,787,000","232,516","18,651,100",
"2014","74","PALO ALTO","6,149,222","729","271,766","5,876,727","729","25,371","991,333","3,649,589","13,954","660,603","122,757","356,511","11,697,574","50,000","1,388,822","0","13,136,396",
"2023","81","SAC","8,021,025","2,795","428,896","7,589,334","-323","25,090","779,640","6,524,251","44,840","1,320,154","116,331","228,265","16,627,582","0","1,944,598","15,143","18,587,323",
"2019","50","Jasper","14,936,663","235,541","657,901","14,043,221","1,543","103,409","2,493,556","8,775,815","189,505","1,326,034","315,586","787,904","28,036,573","5,271,493","0","44,816","33,352,882",
"2013","58","LOUISA","4,939,911","2,330","194,129","4,743,452","2,629","51,180","1,176,019","3,821,708","21,895","547,670","31,642","48,286","10,444,481","5,249","1,540,815","6,848","11,997,393",
"2010","84","SIOUX","7,592,040","22,530","313,771","7,255,739","-405","68,516","1,417,605","8,339,512","10,850","777,463","235,129","446,999","18,551,408","0","1,864,333","62,774","20,478,515",
"2019","45","Howard","5,570,594","0","319,948","5,250,646","214","36,433","2,260,586","4,693,114","41,485","468,261","367,923","220,401","13,339,063","2,302,618","0","0","15,641,681",
"2020","20","Clarke","4,984,807","190,999","221,284","4,572,524","-489","18,051","326,680","3,892,755","41,221","312,920","122,224","220,283","9,506,169","619,683","770,000","50","10,895,902",
"2019","33","Fayette","8,308,606","0","580,680","7,727,926","1,941","71,455","1,068,624","7,512,640","32,550","1,024,713","168,657","353,859","17,962,365","3,980,516","0","12,609","21,955,490",
"2021","96","Winneshiek","10,236,284","38,940","612,303","9,585,041","37,925","50,427","2,094,555","12,984,601","39,510","1,006,533","196,182","810,799","26,805,573","0","2,719,344","68,150","29,593,067",
"2013","13","CALHOUN","5,748,895","0","0","5,748,895","1,101","28,513","521,178","6,343,781","17,869","883,304","126,530","127,852","13,799,023","14,210","1,332,354","0","15,145,587",
"2024","78","POTTAWATTAMIE","46,661,030","0","0","46,661,030","9,575","361,150","9,870,267","27,549,506","334,766","3,594,884","5,160,177","2,885,687","96,427,042","0","13,604,617","83,768","110,115,427",
"2016","66","MITCHELL","5,283,982","0","279,224","5,004,758","5,243","24,290","3,852,483","5,407,580","15,410","949,708","251,295","106,122","15,616,889","1,565","1,404,625","0","17,023,079",
"2015","49","JACKSON","6,436,722","0","388,471","6,048,251","577","58,999","1,054,929","4,840,999","35,337","574,846","478,971","293,640","13,386,549","0","1,064,459","277","14,451,285",
"2012","18","CHEROKEE","4,820,424","0","182,053","4,638,371","561","30,498","987,451","3,986,877","107,614","314,407","78,407","148,773","10,292,959","0","1,485,000","22,575","11,800,534",
"2020","48","Iowa","8,991,527","0","548,729","8,442,798","44","22,219","2,023,908","8,653,558","49,284","2,153,786","449,890","869,460","22,664,947","240,000","1,315,000","324,927","24,544,874",
"2017","83","SHELBY","6,276,642","8,937","356,675","5,911,030","614","28,624","814,441","5,027,986","141,514","377,345","92,148","304,424","12,698,126","0","3,507,079","0","16,205,205",
"2015","66","MITCHELL","5,245,260","0","250,369","4,994,891","160","25,976","3,623,177","5,370,021","13,741","1,385,778","1,554,385","742,391","17,710,520","2,485,845","1,211,630","2,035","21,410,030",
"2024","31","DUBUQUE","34,788,177","5,828","1,070,609","33,711,740","1,058","189,807","6,655,846","13,374,087","196,355","2,686,448","3,331,354","1,453,420","61,600,115","0","9,240,040","12,653","70,852,808",
"2016","46","HUMBOLDT","5,089,528","0","334,302","4,755,226","500","24,575","587,118","3,565,231","56,427","353,017","249,636","377,234","9,968,964","888,000","1,890,647","3,000","12,750,611",
"2017","63","MARION","11,603,513","0","750,503","10,853,010","3,036","75,228","1,380,818","8,039,454","46,342","1,398,799","100,538","233,964","22,131,189","0","2,330,880","0","24,462,069",
"2016","83","SHELBY","6,123,141","0","356,350","5,766,791","-10,667","29,467","720,457","5,248,465","143,376","377,045","77,087","232,988","12,585,009","0","2,863,880","0","15,448,889",
"2014","96","WINNESHIEK","7,909,266","221","381,252","7,527,793","1,282","52,361","1,413,921","5,982,678","26,317","718,143","141,399","748,024","16,611,918","0","2,134,003","26,500","18,772,421",
"2020","99","Wright","8,140,743","297","498,690","7,641,756","297","16,976","1,453,791","7,410,502","22,037","606,627","306,938","366,946","17,825,870","3,774,719","4,823,983","15,125","26,439,697",
"2022","17","CERRO GORDO","19,200,323","16,266","937,064","18,246,993","3,081","187,627","3,555,054","16,156,557","185,741","1,403,399","343,620","1,201,747","41,283,819","0","9,868,167","279,839","51,431,825",
