"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2020","42","Hardin","8,671,795","64,433","502,590","8,104,772","1,207","21,229","1,142,550","6,886,030","28,243","596,312","302,563","1,645,127","18,728,033","0","2,087,797","0","20,815,830",
"2012","52","JOHNSON","42,762,342","0","664,964","42,097,378","8,194","422,944","964,352","24,062,900","568,908","3,945,090","281,374","2,148,484","74,499,624","0","24,996,113","17,659","99,513,396",
"2019","3","Allamakee","7,661,566","1,857","443,690","7,216,019","889","52,020","1,053,046","5,791,387","24,298","403,809","209,768","168,016","14,919,252","1,915,460","7,217","0","16,841,929",
"2023","29","DES MOINES","14,234,363","5,384","873,074","13,355,905","-18,414","103,804","3,123,353","5,767,920","71,458","960,375","772,677","771,208","24,908,286","3,335,562","3,030,673","78,175","31,352,696",
"2015","24","CRAWFORD","8,065,516","4,520","374,726","7,686,270","307","48,695","790,059","5,971,410","5,053","762,573","126,347","473,682","15,864,396","0","2,871,061","126,345","18,861,802",
"2020","94","Webster","14,442,864","0","0","14,442,864","1,160","53,361","3,074,350","12,670,788","64,400","1,079,565","481,549","383,180","32,251,217","9,753,345","6,064,127","38,988","48,107,677",
"2019","72","Osceola","4,467,658","0","275,742","4,191,916","590","22,132","818,924","3,581,037","63,565","362,063","224,699","101,940","9,366,866","1,891,923","0","25,265","11,284,054",
"2014","73","PAGE","4,566,266","11,873","275,423","4,278,970","4,125","56,748","597,672","4,051,868","16,921","375,526","61,303","256,464","9,699,597","0","1,180,242","0","10,879,839",
"2012","37","GREENE","4,675,671","929","204,549","4,470,193","75","24,064","526,057","3,821,947","52,642","403,257","39,497","338,230","9,675,962","0","1,196,080","0","10,872,042",
"2019","51","Jefferson","6,726,735","5,505","379,444","6,341,786","1,400","61,938","756,387","4,171,239","34,436","903,134","98,357","88,972","12,457,649","1,000,000","0","0","13,457,649",
"2010","1","ADAIR","3,035,786","8,797","157,133","2,869,856","802","36,663","618,462","3,421,425","12,481","199,828","119,108","62,569","7,341,194","0","1,049,063","500","8,390,757",
"2021","91","Warren","17,808,001","0","0","17,808,001","94,302","162,498","3,525,863","9,305,144","156,115","1,659,204","314,173","372,323","33,397,623","0","3,743,566","77,895","37,219,084",
"2017","85","STORY","23,608,450","86,328","1,028,213","22,493,909","3,421","105,109","3,679,694","8,621,983","86,643","1,834,690","2,117,330","913,375","39,856,154","1,537,300","2,945,822","909,880","45,249,156",
"2015","61","MADISON","5,028,180","10,239","259,104","4,758,837","6,939","67,463","1,076,767","4,002,860","77,698","979,963","79,753","76,327","11,126,607","0","1,818,601","2,251","12,947,459",
"2016","73","PAGE","5,628,348","0","424,683","5,203,665","693","53,613","625,059","4,348,955","16,948","365,634","61,854","1,460,095","12,136,516","0","1,297,283","24,950","13,458,749",
"2023","9","BREMER","8,705,974","14,527","449,276","8,242,171","183","47,112","1,655,803","10,467,908","362,777","1,009,712","786,095","693,679","23,265,440","0","3,272,803","77,745","26,615,988",
"2010","89","VAN BUREN","2,324,176","1,623","160,159","2,162,394","754","39,566","341,718","3,164,549","12,424","255,848","117,228","217,749","6,312,230","0","536,919","3,266","6,852,415",
"2021","22","Clayton","8,084,547","0","0","8,084,547","67,574","62,321","1,806,012","9,472,251","41,545","612,065","157,461","443,577","20,747,353","3,227","2,000,000","25,581","22,776,161",
"2014","86","TAMA","8,070,698","8,923","433,809","7,627,966","890","79,957","770,546","6,215,069","16,750","626,137","194,825","232,351","15,764,491","0","1,974,841","0","17,739,332",
"2013","56","LEE","10,106,477","21,463","486,362","9,598,652","8,871","142,763","2,096,954","8,040,657","95,302","1,020,230","237,146","293,027","21,533,602","0","1,410,000","0","22,943,602",
"2022","13","CALHOUN","7,700,402","0","0","7,700,402","482","29,017","633,769","6,695,670","16,260","1,449,380","177,144","717,138","17,419,262","0","1,858,097","18,750","19,296,109",
"2014","13","CALHOUN","5,970,968","0","0","5,970,968","892","33,572","507,819","4,211,127","15,874","889,182","115,788","105,963","11,851,185","0","1,314,062","32,522","13,197,769",
"2019","87","Taylor","4,437,712","0","280,356","4,157,356","56","35,286","401,973","5,711,372","6,630","318,530","46,415","177,395","10,855,013","808,141","0","0","11,663,154",
"2011","72","OSCEOLA","2,905,391","0","160,999","2,744,392","86","14,282","590,263","2,974,296","16,330","336,886","82,158","106,732","6,865,425","0","1,113,184","30,913","8,009,522",
"2022","24","CRAWFORD","9,604,067","40,359","418,596","9,145,112","735","54,425","984,074","7,136,947","7,018","1,123,691","132,779","216,410","18,801,191","0","3,782,033","106,020","22,689,244",
"2015","29","DES MOINES","13,444,017","9,512","987,236","12,447,269","3,501","122,483","2,728,539","7,063,591","74,871","949,225","194,396","848,888","24,432,763","0","1,890,755","0","26,323,518",
"2021","70","Muscatine","18,266,374","85,952","919,801","17,260,621","125,579","175,796","2,817,525","17,351,253","156,444","1,186,220","1,330,957","825,219","41,229,614","2,000,000","4,632,084","35,368","47,897,066",
"2015","88","UNION","5,168,962","0","270,785","4,898,177","2,185","62,948","1,151,157","9,845,895","20,845","459,293","80,094","558,760","17,079,354","0","1,070,888","72","18,150,314",
"2017","70","MUSCATINE","16,701,531","51,865","970,634","15,679,032","4,941","135,312","2,471,299","9,487,858","111,804","1,131,160","832,373","316,487","30,170,266","6,883,893","3,891,582","268,788","41,214,529",
"2020","16","Cedar","9,382,785","0","520,333","8,862,452","-76","23,103","1,079,764","6,037,070","39,576","1,227,160","158,532","352,093","17,779,674","48,260","2,666,588","26,425","20,520,947",
"2024","21","CLAY","8,660,924","0","316,665","8,344,259","3","40,433","1,965,524","5,764,871","29,454","641,419","1,353,129","338,060","18,477,152","9,522,531","1,644,610","0","29,644,293",
"2011","17","CERRO GORDO","14,374,987","30,309","541,027","13,803,651","2,041","161,654","2,345,807","7,827,941","126,327","1,275,550","274,088","941,431","26,758,490","3,168","5,457,450","8,821","32,227,929",
"2016","90","WAPELLO","9,296,746","0","747,501","8,549,245","7,298","168,167","3,075,466","5,234,906","75,780","963,187","252,738","1,099,304","19,426,091","0","1,150,000","2,887","20,578,978",
"2017","38","GRUNDY","5,505,626","0","0","5,505,626","63","27,621","630,308","7,535,182","16,970","386,701","69,958","154,756","14,327,185","1,270,209","2,720,371","0","18,317,765",
"2023","4","APPANOOSE","4,556,103","0","320,595","4,235,508","5,053","77,055","1,417,952","5,055,597","12,082","382,949","301,630","303,336","11,791,162","102,280","871,033","0","12,764,475",
"2012","20","CLARKE","4,149,550","5,805","144,517","3,999,228","2,323","48,041","365,907","3,241,687","9,560","290,414","36,013","560,856","8,554,029","406,117","570,339","12,500","9,542,985",
"2012","79","POWESHIEK","6,273,344","0","0","6,273,344","177","54,313","1,191,952","5,227,514","67,010","555,631","221,131","200,568","13,791,640","0","2,487,282","26,395","16,305,317",
"2020","79","Poweshiek","7,180,657","0","0","7,180,657","70","20,338","1,362,567","5,604,854","91,385","655,418","305,570","152,312","15,373,171","0","3,820,869","354","19,194,394",
"2024","58","LOUISA","6,463,619","54,013","293,426","6,116,180","1,841","44,052","1,202,450","4,545,522","66,819","693,327","427,001","329,760","13,426,952","0","2,780,103","3,523","16,210,578",
"2020","5","Audubon","4,471,237","51,524","279,344","4,140,369","84","9,906","888,111","3,689,785","18,417","363,320","85,768","496,579","9,692,339","0","830,250","4,000","10,526,589",
"2024","16","CEDAR","10,154,064","0","505,685","9,648,379","502","47,283","1,418,283","7,256,854","70,512","1,513,719","562,673","287,071","20,805,276","0","2,970,946","176,350","23,952,572",
"2024","37","GREENE","7,334,291","0","292,481","7,041,810","18","33,954","2,248,496","5,836,121","107,751","815,204","688,892","739,111","17,511,357","0","2,523,006","71,000","20,105,363",
"2013","12","BUTLER","5,503,931","0","0","5,503,931","1,077","45,381","791,708","23,109,031","22,635","636,746","438,136","446,949","30,995,594","0","2,249,351","0","33,244,945",
"2017","49","JACKSON","6,947,692","0","498,821","6,448,871","223","55,133","1,051,232","5,178,283","49,070","612,572","638,388","365,773","14,399,545","0","1,101,411","9,502","15,510,458",
"2020","84","Sioux","11,507,467","64,909","629,728","10,812,830","441","24,976","2,036,807","8,898,823","18,295","1,070,656","420,363","2,388,032","25,671,223","1,850,000","4,493,721","29,028","32,043,972",
"2010","6","BENTON","7,246,019","14,750","368,123","6,863,146","7,025","72,929","1,026,891","8,413,187","27,183","955,009","200,300","1,233,786","18,799,456","256,060","3,783,343","101,064","22,939,923",
"2018","82","Scott","49,231,125","12,619","2,321,650","46,896,856","12,619","577,759","6,915,640","13,333,646","720,306","6,255,451","825,224","1,178,133","76,715,634","0","15,709,549","94,150","92,519,333",
"2022","18","CHEROKEE","6,188,029","0","303,264","5,884,765","99","35,529","1,026,212","6,187,955","84,822","471,591","143,817","142,781","13,977,571","0","2,228,787","279,846","16,486,204",
"2014","54","KEOKUK","4,541,387","118,387","264,306","4,158,694","3,758","43,889","150,884","3,256,067","23,308","574,310","329,213","215,388","8,755,511","0","1,309,000","0","10,064,511",
"2011","22","CLAYTON","7,227,118","49,859","310,676","6,866,583","939","61,562","1,218,149","6,009,882","28,254","461,001","203,927","532,051","15,382,348","0","1,400,000","9,820","16,792,168",
"2012","50","JASPER","12,666,807","450","27,631","12,638,726","2,896","112,902","2,433,058","7,154,715","88,423","944,657","233,604","611,535","24,220,516","3,471,239","4,387,623","20,590","32,099,968",
"2021","54","Keokuk","6,696,619","365,780","402,589","5,928,250","98,492","64,132","746,945","5,926,460","28,698","533,622","209,435","155,335","13,691,369","3,925","2,180,955","0","15,876,249",
"2013","83","SHELBY","5,635,304","0","298,007","5,337,297","418","32,846","858,011","4,076,623","234,437","375,005","101,982","257,881","11,274,500","0","2,724,510","0","13,999,010",
"2022","82","SCOTT","60,018,770","15,197","2,625,217","57,378,356","15,197","707,410","9,267,969","15,527,945","855,538","7,521,706","46,288","1,573,412","92,893,821","0","21,306,843","282,318","114,482,982",
"2018","87","Taylor","3,750,016","0","0","3,750,016","200","34,201","301,777","4,833,670","5,710","271,452","38,326","199,475","9,434,827","0","825,962","18,975","10,279,764",
"2014","45","HOWARD","4,751,728","0","239,760","4,511,968","1,398","36,954","1,753,592","3,872,946","12,771","485,576","81,715","349,056","11,105,976","6,380,009","1,906,843","1","19,392,829",
"2016","62","MAHASKA","6,582,636","0","415,957","6,166,679","-329","43,982","1,321,599","5,420,930","21,899","616,553","185,936","1,137,573","14,914,822","0","2,231,398","183,254","17,329,474",
"2015","17","CERRO GORDO","16,137,677","25,962","658,434","15,453,281","16,431","156,728","2,517,654","8,464,183","154,959","1,563,696","227,075","1,951,294","30,505,301","850,000","5,847,670","24,321","37,227,292",
"2016","21","CLAY","7,349,281","0","423,079","6,926,202","88","38,063","1,084,101","5,566,042","38,637","564,752","374,776","412,784","15,005,445","0","2,306,230","4,432","17,316,107",
"2012","72","OSCEOLA","3,060,324","0","159,781","2,900,543","16,559","26,493","561,590","2,944,550","24,933","339,418","68,231","60,818","6,943,135","0","1,119,537","0","8,062,672",
"2016","84","SIOUX","9,725,401","1,100","619,836","9,104,465","326","62,865","1,648,212","8,716,819","21,425","960,645","108,842","810,391","21,433,990","2,156,636","3,017,012","15,178","26,622,816",
"2023","19","CHICKASAW","6,345,048","0","0","6,345,048","9,462","28,707","1,390,163","6,027,600","158,062","1,192,106","494,167","480,220","16,125,535","0","3,107,868","103,856","19,337,259",
"2012","5","AUDUBON","3,530,303","0","171,722","3,358,581","2,718","22,730","351,558","2,971,750","25,614","244,812","44,423","102,922","7,125,108","0","807,451","526","7,933,085",
"2016","4","APPANOOSE","3,958,867","0","363,536","3,595,331","3,789","70,040","1,122,550","4,343,975","3,825","427,799","21,375","73,356","9,662,040","152,012","710,699","0","10,524,751",
"2024","52","JOHNSON","66,067,261","0","1,973,201","64,094,060","9,238","518,760","1,243,252","26,816,813","927,684","5,152,023","6,265,562","2,103,538","107,130,930","16,929,399","28,812,802","15,136","152,888,267",
"2020","52","Johnson","61,202,654","0","1,940,748","59,261,906","2,913","227,839","1,035,756","22,952,413","838,496","4,714,126","1,812,631","897,509","91,743,589","21,382,000","17,866,786","19,817","131,012,192",
"2018","70","Muscatine","16,537,951","0","948,930","15,589,021","1,399","123,955","2,339,795","9,918,822","106,446","1,232,865","1,099,398","305,998","30,717,699","0","4,256,329","42,161","35,016,189",
"2021","85","Story","28,958,362","59,250","1,038,834","27,860,278","122,713","197,240","4,173,403","12,220,589","76,855","2,027,509","459,364","704,863","47,842,814","0","3,374,960","80,130","51,297,904",
"2010","11","BUENA VISTA","7,831,013","40,837","280,315","7,509,861","2,393","46,597","972,673","4,924,620","63,529","591,569","127,251","135,811","14,374,304","3,033,988","1,801,700","8,890","19,218,882",
"2020","89","Van Buren","3,242,320","76,915","201,177","2,964,228","2,342","19,039","399,176","4,929,535","11,634","244,683","209,827","236,121","9,016,585","0","968,216","56,494","10,041,295",
"2024","41","HANCOCK","6,037,853","0","184,330","5,853,523","126","29,360","851,523","5,234,952","47,262","416,681","838,521","340,265","13,612,213","0","2,807,210","2,735,775","19,155,198",
"2013","89","VAN BUREN","2,579,582","7,786","161,321","2,410,475","4,379","44,074","345,757","3,736,968","14,683","260,785","112,219","177,665","7,107,005","0","672,640","0","7,779,645",
"2013","88","UNION","5,376,089","0","241,403","5,134,686","837","60,098","1,102,635","3,370,335","15,258","512,085","145,449","222,602","10,563,985","56,974","793,271","0","11,414,230",
"2010","57","LINN","48,597,322","114,980","1,368,289","47,114,053","51,272","932,783","7,819,366","56,416,644","834,472","7,123,806","788,395","1,013,101","122,093,892","1,000,000","23,690,351","119,732","146,903,975",
"2021","49","Jackson","7,762,415","0","490,108","7,272,307","86,720","74,855","1,422,941","6,260,691","60,695","814,520","485,155","318,250","16,796,134","0","1,713,200","0","18,509,334",
"2023","24","CRAWFORD","9,893,271","0","405,039","9,488,232","95","51,127","983,907","9,405,082","8,790","1,157,459","478,715","354,745","21,928,152","0","3,833,873","93,592","25,855,617",
"2015","39","GUTHRIE","4,432,350","0","0","4,432,350","1,713","44,699","655,457","4,619,276","27,144","438,141","105,475","585,362","10,909,617","1,426,155","1,656,831","7,723","14,000,326",
"2015","56","LEE","10,689,947","8,121","729,848","9,951,978","8,573","140,674","2,664,376","8,829,446","109,771","1,038,838","219,385","2,597,762","25,560,803","510,000","1,589,775","0","27,660,578",
"2011","44","HENRY","6,520,405","0","249,686","6,270,719","2,648","64,704","897,800","4,409,496","44,739","1,262,393","84,322","272,686","13,309,507","0","1,043,037","0","14,352,544",
"2015","6","BENTON","8,806,199","20,176","597,237","8,188,786","5,676","64,947","1,173,110","6,254,883","64,587","803,497","133,784","560,292","17,249,562","41,696","3,894,652","0","21,185,910",
"2021","76","Pocahontas","6,950,231","0","297,977","6,652,254","58,033","48,798","527,159","6,252,329","37,377","721,693","427,678","600,929","15,326,250","0","1,862,331","11,388","17,199,969",
"2018","6","Benton","9,157,300","2,543","298,389","8,856,368","2,389","53,847","1,034,307","7,825,923","73,142","881,892","191,316","529,201","19,448,385","0","4,341,288","57,836","23,847,509",
"2017","23","CLINTON","17,260,340","0","1,127,608","16,132,732","9,517","123,728","2,725,170","8,463,211","59,391","1,057,157","243,591","352,806","29,167,303","22,427,010","3,097,547","1,360","54,693,220",
"2022","88","UNION","5,682,459","0","0","5,682,459","12,629","53,128","1,074,182","5,358,607","27,501","562,500","62,590","218,141","13,051,737","0","1,139,865","1,239","14,192,841",
"2014","77","POLK","136,692,801","603,608","3,820,278","132,268,915","-194,376","1,388,781","5,535,137","47,266,361","886,846","13,231,747","3,254,424","2,359,279","205,997,114","28,115,129","22,707,352","110,622","256,930,217",
"2022","46","HUMBOLDT","6,573,237","0","342,047","6,231,190","127","26,251","946,132","5,268,227","93,765","413,564","387,197","712,307","14,078,760","0","1,838,045","9,530","15,926,335",
"2018","23","Clinton","18,003,145","0","0","18,003,145","11,400","178,201","2,732,729","8,767,722","56,677","1,178,114","393,064","567,378","31,888,430","0","2,108,776","3,000","34,000,206",
"2023","41","HANCOCK","6,066,519","0","303,681","5,762,838","73","27,361","835,962","5,144,604","39,811","454,451","611,274","410,980","13,287,354","0","2,645,848","55,825","15,989,027",
"2022","73","PAGE","6,461,437","5,000","444,551","6,011,886","1,574","55,449","913,247","6,273,956","31,332","430,761","109,181","436,813","14,264,199","0","1,616,233","0","15,880,432",
"2017","6","BENTON","9,157,300","2,543","646,100","8,508,657","1,417","49,621","1,164,494","7,847,356","60,025","822,850","106,408","491,693","19,052,521","51,619","4,328,749","8,534","23,441,423",
"2023","56","LEE","13,851,150","10,625","860,290","12,980,235","7,416","133,662","3,090,119","11,143,454","314,317","2,088,060","408,640","701,816","30,867,719","0","5,463,332","13,850","36,344,901",
"2017","55","KOSSUTH","8,382,289","0","481,686","7,900,603","52","35,041","1,159,525","7,588,582","22,751","710,906","91,634","112,893","17,621,987","20,337","2,805,572","33,403","20,481,299",
"2019","23","Clinton","18,180,129","0","0","18,180,129","8,874","172,670","2,631,827","10,333,442","50,874","1,114,197","520,561","398,751","33,411,325","3,978,209","0","564","37,390,098",
"2019","55","Kossuth","8,873,140","0","497,461","8,375,679","447","42,611","1,653,088","7,926,969","21,730","699,917","224,632","239,642","19,184,715","2,864,441","31,376","575","22,081,107",
"2020","74","Palo Alto","7,009,987","0","344,795","6,665,192","294","11,463","2,095,574","4,984,963","86,461","713,951","198,866","174,109","14,930,873","0","2,819,804","0","17,750,677",
"2013","44","HENRY","7,055,205","5,270","305,931","6,744,004","5,270","71,051","898,764","3,744,158","45,846","598,242","60,003","117,621","12,284,959","0","1,106,292","247,595","13,638,846",
"2015","44","HENRY","7,218,523","0","455,078","6,763,445","2,242","55,105","954,486","3,844,565","53,937","499,716","63,703","174,019","12,411,218","0","1,332,137","192,962","13,936,317",
"2023","68","MONROE","5,610,398","0","255,472","5,354,926","728","37,296","827,024","4,096,171","36,568","251,796","357,717","1,892,500","12,854,726","82,200","1,527,400","0","14,464,326",
"2011","55","KOSSUTH","7,914,783","0","364,342","7,550,441","364","52,556","1,138,887","6,494,272","9,203","636,634","188,287","103,556","16,174,200","0","2,916,577","12,875","19,103,652",
"2022","35","FRANKLIN","8,756,229","1,250","608,498","8,146,481","592","47,310","4,606,409","8,065,290","32,073","555,845","166,047","344,452","21,964,499","0","4,216,604","102,609","26,283,712",
"2019","40","Hamilton","7,989,545","0","482,100","7,507,445","142","59,476","1,348,255","6,417,294","30,601","1,606,901","453,703","2,897,344","20,321,161","3,663,452","1,535,000","41,450","25,561,063",
"2024","73","PAGE","6,711,848","0","330,990","6,380,858","238","57,007","951,935","5,262,673","12,793","415,007","729,551","2,027,866","15,837,928","9,229,920","1,710,733","0","26,778,581",
"2016","77","POLK","147,131,853","214,648","6,395,403","140,521,802","147,088","1,218,357","5,738,423","49,208,912","1,275,103","13,781,100","5,367,226","3,194,306","220,452,317","0","23,753,588","123,980","244,329,885",
"2018","38","Grundy","5,737,089","0","0","5,737,089","0","25,458","526,390","5,766,058","22,975","450,684","95,370","168,949","12,792,973","0","1,907,411","0","14,700,384",
"2011","76","POCAHONTAS","4,235,549","1,683","114,084","4,119,782","986","24,235","391,766","1,347,318","60,783","398,383","180,340","47,195","6,570,788","0","1,575,000","1,300","8,147,088",
"2021","7","Black Hawk","36,413,427","0","0","36,413,427","177,296","552,432","5,358,687","14,921,902","721,238","4,444,347","584,880","2,456,943","65,631,152","14,572,032","14,239,882","8,725","94,451,791",
"2014","9","BREMER","7,260,625","765","304,622","6,955,238","390","47,908","1,303,117","4,340,058","286,692","852,644","254,615","495,026","14,535,688","0","3,041,960","5,369","17,583,017",
"2022","9","BREMER","8,829,646","5,784","457,280","8,366,582","280","50,669","1,549,408","6,309,098","368,383","981,201","283,903","595,424","18,504,948","0","3,230,560","35,410","21,770,918",
"2019","8","Boone","8,069,438","2,798","436,880","7,629,760","467","73,157","1,474,404","5,562,255","28,375","1,170,204","468,370","412,532","16,819,524","3,335,096","0","21,550","20,176,170",
"2011","87","TAYLOR","2,590,574","3,044","135,160","2,452,370","2,591","32,918","289,380","4,027,637","14,861","179,325","67,852","151,172","7,218,106","0","685,081","6,861","7,910,048",
"2020","12","Butler","6,277,437","0","0","6,277,437","0","19,116","1,513,659","6,687,188","66,375","518,893","319,435","793,188","16,195,291","2,733,250","3,733,829","0","22,662,370",
"2022","56","LEE","13,315,578","13,672","844,908","12,456,998","2,552","140,238","3,537,415","13,957,791","305,641","1,061,833","292,597","971,098","32,726,163","0","2,611,758","33,643","35,371,564",
"2021","39","Guthrie","8,560,286","0","0","8,560,286","33,521","104,654","1,222,831","6,587,375","61,806","715,469","177,153","896,870","18,359,965","1,315,312","2,429,627","0","22,104,904",
"2010","43","HARRISON","6,371,784","13,841","310,194","6,047,749","2,315","60,422","642,902","6,030,073","20,970","493,155","95,839","1,218,675","14,612,100","0","1,293,473","0","15,905,573",
"2024","6","BENTON","13,866,032","0","-535,619","14,401,651","1,917","71,521","1,580,489","9,004,837","200,814","865,440","429,541","925,754","27,481,964","0","3,580,216","124,125","31,186,305",
"2017","90","WAPELLO","9,515,292","0","797,541","8,717,751","4,738","161,749","2,386,789","5,167,040","68,113","851,660","289,876","795,990","18,443,706","0","1,150,000","57,060","19,650,766",
"2024","56","LEE","18,873,221","40,868","933,013","17,899,340","1,941","160,467","3,837,871","12,761,849","443,260","2,096,424","1,728,402","2,398,522","41,328,076","0","2,811,051","80","44,139,207",
"2017","17","CERRO GORDO","15,820,130","0","0","15,820,130","7,409","139,283","2,847,409","9,802,673","167,917","1,537,687","297,832","1,164,263","31,784,603","0","7,340,290","21,800","39,146,693",
"2018","50","Jasper","13,604,209","0","0","13,604,209","1,439","88,742","2,457,630","8,132,345","174,854","1,324,020","221,493","816,624","26,821,356","0","5,856,294","1,892,243","34,569,893",
"2014","22","CLAYTON","7,601,240","0","430,375","7,170,865","1,931","54,683","1,649,023","5,143,104","36,913","464,419","160,615","835,944","15,517,497","0","1,731,096","400","17,248,993",
"2010","25","DALLAS","18,871,050","0","411,676","18,459,374","4,632","237,549","678,144","11,136,107","112,472","2,289,122","447,794","1,381,157","34,746,351","0","5,903,782","138,080","40,788,213",
"2019","83","Shelby","6,293,261","884","349,108","5,943,269","71","27,507","728,077","4,586,452","157,720","379,930","99,793","445,780","12,368,599","3,860,303","0","0","16,228,902",
"2018","94","Webster","12,765,260","0","0","12,765,260","44","110,590","2,610,931","12,218,818","77,036","1,120,184","403,030","469,256","29,775,149","0","5,957,195","645,876","36,378,220",
"2020","57","Linn","69,131,322","1,273,339","3,250,338","64,607,645","12,164","263,608","9,509,924","29,693,711","1,225,821","8,378,780","1,991,346","1,619,058","117,302,057","31,952,469","27,600,190","110,452","176,965,168",
"2012","91","WARREN","11,488,650","5,817","338,071","11,144,762","5,898","131,274","428,156","8,444,106","48,625","1,163,015","64,960","1,615,310","23,046,106","39,297","2,478,238","81,350","25,644,991",
"2023","73","PAGE","6,435,508","2,500","453,537","5,979,471","793","54,274","889,251","6,276,646","11,352","423,772","369,987","247,737","14,253,283","0","1,616,233","0","15,869,516",
"2024","1","ADAIR","6,032,270","0","195,038","5,837,232","0","32,810","5,181,277","6,103,560","28,055","267,275","333,904","132,592","17,916,705","5,190,661","1,588,279","52,850","24,748,495",
"2013","5","AUDUBON","3,945,501","0","224,819","3,720,682","957","20,492","399,373","2,950,449","15,721","250,838","29,721","120,322","7,508,555","55,268","730,393","10,415","8,304,631",
"2024","90","WAPELLO","9,522,038","0","428,178","9,093,860","5,341","139,041","2,734,109","6,482,268","135,654","863,360","1,191,354","1,146,300","21,791,287","0","1,322,000","117,444","23,230,731",
"2013","24","CRAWFORD","7,710,696","10,079","311,445","7,389,172","1,024","54,575","743,038","5,443,443","23,361","789,053","109,111","156,473","14,709,250","45","1,963,500","308,080","16,980,875",
"2015","71","OBRIEN","5,928,509","2,417","409,601","5,516,491","6,484","46,212","880,517","5,120,956","101,888","522,015","197,363","223,750","12,615,676","0","2,574,908","6,862","15,197,446",
"2023","80","RINGGOLD","3,647,312","0","180,160","3,467,152","1,220","27,434","553,999","5,296,324","28,395","293,912","142,736","199,025","10,010,197","0","950,000","0","10,960,197",
"2014","41","HANCOCK","5,041,231","0","194,889","4,846,342","2,596","37,472","579,978","4,046,816","21,241","359,505","235,438","314,452","10,443,840","0","1,980,000","0","12,423,840",
"2010","38","GRUNDY","4,816,028","0","230,886","4,585,142","214","33,687","511,402","5,070,622","13,100","311,766","128,947","418,238","11,073,118","15,808,254","1,078,912","0","27,960,284",
"2022","78","POTTAWATTAMIE","44,746,560","0","0","44,746,560","316,720","377,915","9,420,528","33,838,357","356,665","3,660,903","323,627","4,129,602","97,170,877","20,629,668","13,290,783","0","131,091,328",
"2022","41","HANCOCK","6,003,339","0","287,498","5,715,841","520","49,331","931,875","6,110,304","27,974","454,143","262,182","379,684","13,931,854","2,319,328","2,716,427","0","18,967,609",
"2024","97","WOODBURY","38,497,990","0","967,371","37,530,619","-78,604","430,116","7,814,531","11,637,541","80,173","2,780,202","2,750,438","1,864,239","64,809,255","800,000","17,850,244","0","83,459,499",
"2010","26","DAVIS","2,752,384","0","0","2,752,384","912","36,845","447,257","3,331,158","679","156,914","127,999","524,852","7,379,000","0","612,436","11,500","8,002,936",
"2022","67","MONONA","7,507,846","1,063","361,321","7,145,462","1,712","33,740","663,012","8,157,793","16,035","372,619","153,063","452,018","16,995,454","0","1,578,087","49,225","18,622,766",
"2016","58","LOUISA","4,893,450","3,801","296,996","4,592,653","4,141","49,095","1,245,881","5,067,170","21,869","680,600","31,424","219,855","11,912,688","0","1,783,787","8,557","13,705,032",
"2012","60","LYON","5,070,248","0","209,549","4,860,699","0","21,567","1,465,287","5,866,549","75,547","931,745","142,465","570,614","13,934,473","0","1,613,253","8,560","15,556,286",
"2013","93","WAYNE","3,169,172","0","175,115","2,994,057","5,990","46,640","435,116","3,697,097","4,350","481,356","50,019","322,788","8,037,413","0","656,724","76,831","8,770,968",
"2010","53","JONES","5,666,862","933","275,768","5,390,161","1,335","45,304","967,824","7,543,185","63,752","537,401","259,463","364,325","15,172,750","0","1,582,500","4,101","16,759,351",
"2020","66","Mitchell","5,769,908","0","391,746","5,378,162","0","14,654","12,806,066","4,966,675","16,689","870,340","540,999","4,454,049","29,047,634","11,518","2,773,217","6,997","31,839,366",
"2024","24","CRAWFORD","10,086,243","0","304,155","9,782,088","0","49,335","998,859","7,578,626","5,925","1,119,229","849,491","268,097","20,651,650","0","4,060,920","82,472","24,795,042",
"2017","32","EMMET","4,673,574","542","312,185","4,360,847","189","22,752","410,598","3,443,304","15,458","337,529","34,032","302,540","8,927,249","0","1,107,239","0","10,034,488",
"2023","1","ADAIR","5,899,279","0","344,689","5,554,590","0","27,306","4,576,102","6,364,677","20,967","281,806","182,392","672,892","17,680,732","0","1,165,855","0","18,846,587",
"2010","15","CASS","4,362,957","0","218,310","4,144,647","359","44,971","926,624","6,775,071","15,659","345,141","172,522","330,782","12,755,776","0","1,933,028","0","14,688,804",
"2015","76","POCAHONTAS","6,468,270","6,185","240,722","6,221,363","513","20,895","414,120","4,005,490","8,017","339,124","175,760","52,030","11,237,312","0","1,421,875","1,060","12,660,247",
