"FIPS","County","Year","Population","Primary Point"
"19169","Story County","July 01, 2011","91,136","POINT (-93.4650448 42.0362415)"
"19065","Fayette County","July 01, 1995","22,129","POINT (-91.8443207 42.8625919)"
"19089","Howard County","July 01, 2002","9,794","POINT (-92.3171989 43.3567673)"
"19007","Appanoose County","July 01, 1999","13,761","POINT (-92.8686104 40.7431635)"
"19043","Clayton County","July 01, 2012","17,946","POINT (-91.3414328 42.8447493)"
"19103","Johnson County","July 01, 2021","155,047","POINT (-91.5880849 41.6715511)"
"19133","Monona County","July 01, 1992","9,978","POINT (-95.9599235 42.0516663)"
"19167","Sioux County","July 01, 1995","31,352","POINT (-96.1778827 43.0826174)"
"19103","Johnson County","July 01, 2006","123,171","POINT (-91.5880849 41.6715511)"
"19101","Jefferson County","July 01, 2018","18,256","POINT (-91.9488774 41.0317596)"
"19113","Linn County","July 01, 2016","222,188","POINT (-91.5989646 42.0789478)"
"19159","Ringgold County","July 01, 1996","5,382","POINT (-94.2439719 40.7352023)"
"19151","Pocahontas County","July 01, 1991","9,493","POINT (-94.6787466 42.7341351)"
"19153","Polk County","July 01, 2014","460,898","POINT (-93.5735335 41.6855048)"
"19081","Hancock County","July 01, 1999","12,085","POINT (-93.7342723 43.0818861)"
"19187","Webster County","July 01, 2009","38,346","POINT (-94.1817881 42.4279662)"
"19133","Monona County","July 01, 2007","9,123","POINT (-95.9599235 42.0516663)"
"19171","Tama County","July 01, 2008","17,549","POINT (-92.5325425 42.0798117)"
"19031","Cedar County","July 01, 2011","18,358","POINT (-91.1324125 41.7723207)"
"19141","O'Brien County","July 01, 2001","14,881","POINT (-95.6248784 43.0837527)"
"19063","Emmet County","July 01, 1999","11,247","POINT (-94.6784803 43.3780225)"
"19077","Guthrie County","July 01, 2016","10,642","POINT (-94.501055 41.6837548)"
"19103","Johnson County","July 01, 1994","100,939","POINT (-91.5880849 41.6715511)"
"19147","Palo Alto County","July 01, 1999","10,245","POINT (-94.6781371 43.0820643)"
"19037","Chickasaw County","July 01, 1995","13,287","POINT (-92.3176637 43.0600414)"
"19143","Osceola County","July 01, 2017","6,021","POINT (-95.6236852 43.3785704)"
"19137","Montgomery County","July 01, 1999","11,890","POINT (-95.1563758 41.03014)"
"19013","Black Hawk County","July 01, 2008","128,040","POINT (-92.3088197 42.4700957)"
"19037","Chickasaw County","July 01, 2019","11,933","POINT (-92.3176637 43.0600414)"
"19183","Washington County","July 01, 1993","20,072","POINT (-91.7178676 41.335591)"
"19119","Lyon County","April 01, 2000","11,763","POINT (-96.2102924 43.380497)"
"19117","Lucas County","July 01, 1998","9,395","POINT (-93.3277207 41.0293738)"
"19037","Chickasaw County","July 01, 2013","12,274","POINT (-92.3176637 43.0600414)"
"19059","Dickinson County","July 01, 2013","16,878","POINT (-95.1508301 43.3779848)"
"19167","Sioux County","July 01, 2021","35,979","POINT (-96.1778827 43.0826174)"
"19157","Poweshiek County","July 01, 2024","18,454","POINT (-92.5314684 41.6864422)"
"19077","Guthrie County","April 01, 1990","10,935","POINT (-94.501055 41.6837548)"
"19129","Mills County","July 01, 2013","14,905","POINT (-95.6213267 41.0334523)"
"19011","Benton County","July 01, 1991","22,425","POINT (-92.0656912 42.0801864)"
"19119","Lyon County","July 01, 2013","11,695","POINT (-96.2102924 43.380497)"
"19077","Guthrie County","July 01, 2021","10,598","POINT (-94.501055 41.6837548)"
"19061","Dubuque County","July 01, 2011","94,593","POINT (-90.8824564 42.468832)"
"19105","Jones County","July 01, 2011","20,743","POINT (-91.1314352 42.1212397)"
"19145","Page County","July 01, 2004","16,001","POINT (-95.1501747 40.7391444)"
"19103","Johnson County","April 01, 2010","130,882","POINT (-91.5880849 41.6715511)"
"19163","Scott County","July 01, 2003","158,808","POINT (-90.6232428 41.6370978)"
"19013","Black Hawk County","July 01, 2018","131,723","POINT (-92.3088197 42.4700957)"
"19185","Wayne County","April 01, 2010","6,403","POINT (-93.3273639 40.7394702)"
"19177","Van Buren County","July 01, 1997","7,669","POINT (-91.9499871 40.7532294)"
"19067","Floyd County","April 01, 2020","15,627","POINT (-92.7890033 43.0599208)"
"19031","Cedar County","April 01, 2010","18,499","POINT (-91.1324125 41.7723207)"
"19171","Tama County","July 01, 2012","17,501","POINT (-92.5325425 42.0798117)"
"19047","Crawford County","July 01, 2009","16,416","POINT (-95.3819678 42.0372125)"
"19155","Pottawattamie County","July 01, 2009","90,224","POINT (-95.5423935 41.3366123)"
"19111","Lee County","July 01, 1995","38,965","POINT (-91.479264 40.6419764)"
"19035","Cherokee County","July 01, 1997","13,450","POINT (-95.6238055 42.7356226)"
"19173","Taylor County","July 01, 1999","7,029","POINT (-94.6964148 40.7374324)"
"19137","Montgomery County","April 01, 2020","10,330","POINT (-95.1563758 41.03014)"
"19197","Wright County","July 01, 2022","12,740","POINT (-93.7351465 42.7331189)"
"19073","Greene County","July 01, 2014","9,124","POINT (-94.3968356 42.0362394)"
"19011","Benton County","July 01, 2019","25,645","POINT (-92.0656912 42.0801864)"
"19123","Mahaska County","July 01, 2007","22,092","POINT (-92.6409094 41.3352035)"
"19085","Harrison County","July 01, 1996","15,231","POINT (-95.8169209 41.6828528)"
"19091","Humboldt County","July 01, 1999","10,462","POINT (-94.2071868 42.7764686)"
"19101","Jefferson County","July 01, 2019","18,295","POINT (-91.9488774 41.0317596)"
"19033","Cerro Gordo County","July 01, 2003","45,142","POINT (-93.2608184 43.0815577)"
"19063","Emmet County","July 01, 1998","11,303","POINT (-94.6784803 43.3780225)"
"19103","Johnson County","July 01, 2001","113,878","POINT (-91.5880849 41.6715511)"
"19025","Calhoun County","July 01, 1999","11,296","POINT (-94.6404136 42.3851848)"
"19175","Union County","July 01, 2014","12,627","POINT (-94.2423792 41.0277304)"
"19063","Emmet County","April 01, 2020","9,388","POINT (-94.6784803 43.3780225)"
"19189","Winnebago County","July 01, 2009","10,602","POINT (-93.7341955 43.3775678)"
"19089","Howard County","July 01, 2003","9,713","POINT (-92.3171989 43.3567673)"
"19185","Wayne County","April 01, 1990","7,067","POINT (-93.3273639 40.7394702)"
"19131","Mitchell County","July 01, 2005","10,784","POINT (-92.7890315 43.3564124)"
"19031","Cedar County","July 01, 2018","18,564","POINT (-91.1324125 41.7723207)"
"19043","Clayton County","July 01, 2016","17,661","POINT (-91.3414328 42.8447493)"
"19051","Davis County","July 01, 2008","8,573","POINT (-92.4097173 40.7476891)"
"19185","Wayne County","April 01, 2000","6,730","POINT (-93.3273639 40.7394702)"
"19049","Dallas County","July 01, 2015","80,631","POINT (-94.0397374 41.6848862)"
"19103","Johnson County","July 01, 2014","142,730","POINT (-91.5880849 41.6715511)"
"19011","Benton County","July 01, 2015","25,608","POINT (-92.0656912 42.0801864)"
"19109","Kossuth County","July 01, 1993","18,098","POINT (-94.2067199 43.20413)"
"19097","Jackson County","July 01, 1992","19,912","POINT (-90.5742294 42.1717426)"
"19005","Allamakee County","April 01, 2010","14,330","POINT (-91.3780923 43.2842838)"
"19047","Crawford County","July 01, 1998","16,864","POINT (-95.3819678 42.0372125)"
"19169","Story County","July 01, 2015","96,636","POINT (-93.4650448 42.0362415)"
"19167","Sioux County","April 01, 2020","35,872","POINT (-96.1778827 43.0826174)"
"19023","Butler County","July 01, 2004","14,782","POINT (-92.7901934 42.7315661)"
"19139","Muscatine County","July 01, 2015","43,068","POINT (-91.1127562 41.4839221)"
"19095","Iowa County","July 01, 1991","14,618","POINT (-92.065524 41.6863229)"
"19001","Adair County","April 01, 1990","8,409","POINT (-94.4709413 41.3307464)"
"19117","Lucas County","July 01, 2009","9,179","POINT (-93.3277207 41.0293738)"
"19109","Kossuth County","July 01, 2013","15,332","POINT (-94.2067199 43.20413)"
"19077","Guthrie County","July 01, 2007","11,051","POINT (-94.501055 41.6837548)"
"19055","Delaware County","July 01, 2005","17,619","POINT (-91.3673502 42.471211)"
"19067","Floyd County","July 01, 1996","17,001","POINT (-92.7890033 43.0599208)"
"19181","Warren County","July 01, 2008","44,793","POINT (-93.5613594 41.3343735)"
"19129","Mills County","July 01, 2005","14,846","POINT (-95.6213267 41.0334523)"
"19195","Worth County","July 01, 2006","7,618","POINT (-93.2608476 43.3773984)"
"19195","Worth County","April 01, 2000","7,909","POINT (-93.2608476 43.3773984)"
"19009","Audubon County","July 01, 1998","6,916","POINT (-94.9058222 41.6845893)"
"19155","Pottawattamie County","July 01, 1999","86,609","POINT (-95.5423935 41.3366123)"
"19007","Appanoose County","July 01, 2013","12,654","POINT (-92.8686104 40.7431635)"
"19155","Pottawattamie County","July 01, 2004","88,781","POINT (-95.5423935 41.3366123)"
"19111","Lee County","April 01, 2000","38,052","POINT (-91.479264 40.6419764)"
"19009","Audubon County","July 01, 2023","5,533","POINT (-94.9058222 41.6845893)"
"19169","Story County","July 01, 1996","76,265","POINT (-93.4650448 42.0362415)"
"19049","Dallas County","July 01, 1991","29,904","POINT (-94.0397374 41.6848862)"
"19035","Cherokee County","July 01, 2002","12,530","POINT (-95.6238055 42.7356226)"
"19145","Page County","July 01, 2012","15,702","POINT (-95.1501747 40.7391444)"
"19173","Taylor County","July 01, 2013","6,233","POINT (-94.6964148 40.7374324)"
"19185","Wayne County","July 01, 2005","6,422","POINT (-93.3273639 40.7394702)"
"19121","Madison County","April 01, 1990","12,483","POINT (-94.0155619 41.3307142)"
"19195","Worth County","April 01, 2010","7,598","POINT (-93.2608476 43.3773984)"
"19175","Union County","April 01, 2000","12,309","POINT (-94.2423792 41.0277304)"
"19035","Cherokee County","July 01, 2023","11,652","POINT (-95.6238055 42.7356226)"
"19041","Clay County","July 01, 1998","17,662","POINT (-95.1509194 43.0825804)"
"19097","Jackson County","July 01, 2007","19,906","POINT (-90.5742294 42.1717426)"
"19017","Bremer County","April 01, 2000","23,325","POINT (-92.3180548 42.7745873)"
"19121","Madison County","July 01, 2001","14,148","POINT (-94.0155619 41.3307142)"
"19053","Decatur County","July 01, 1993","8,219","POINT (-93.7862815 40.7376827)"
"19115","Louisa County","July 01, 2008","11,694","POINT (-91.2596184 41.2185073)"
"19065","Fayette County","July 01, 2013","20,519","POINT (-91.8443207 42.8625919)"
"19075","Grundy County","July 01, 2015","12,405","POINT (-92.7914177 42.4018651)"
"19059","Dickinson County","July 01, 1992","15,196","POINT (-95.1508301 43.3779848)"
"19013","Black Hawk County","July 01, 2021","130,587","POINT (-92.3088197 42.4700957)"
"19077","Guthrie County","July 01, 1992","11,101","POINT (-94.501055 41.6837548)"
"19007","Appanoose County","July 01, 2022","12,135","POINT (-92.8686104 40.7431635)"
"19193","Woodbury County","July 01, 1994","101,640","POINT (-96.0447673 42.3897169)"
"19101","Jefferson County","July 01, 1995","16,563","POINT (-91.9488774 41.0317596)"
"19065","Fayette County","July 01, 2012","20,774","POINT (-91.8443207 42.8625919)"
"19077","Guthrie County","July 01, 2011","10,859","POINT (-94.501055 41.6837548)"
"19139","Muscatine County","July 01, 2019","42,664","POINT (-91.1127562 41.4839221)"
"19159","Ringgold County","July 01, 2006","5,101","POINT (-94.2439719 40.7352023)"
"19141","O'Brien County","July 01, 1996","15,647","POINT (-95.6248784 43.0837527)"
"19011","Benton County","July 01, 2005","26,643","POINT (-92.0656912 42.0801864)"
"19051","Davis County","July 01, 2011","8,771","POINT (-92.4097173 40.7476891)"
"19101","Jefferson County","July 01, 2024","15,781","POINT (-91.9488774 41.0317596)"
"19069","Franklin County","July 01, 1993","11,179","POINT (-93.262473 42.7325458)"
"19073","Greene County","April 01, 2000","10,366","POINT (-94.3968356 42.0362394)"
"19129","Mills County","April 01, 2000","14,547","POINT (-95.6213267 41.0334523)"
"19189","Winnebago County","July 01, 1992","11,940","POINT (-93.7341955 43.3775678)"
"19021","Buena Vista County","July 01, 2007","19,455","POINT (-95.151149 42.7354936)"
"19027","Carroll County","July 01, 2006","20,766","POINT (-94.8605593 42.0362382)"
"19107","Keokuk County","July 01, 2012","10,427","POINT (-92.1786426 41.336465)"
"19097","Jackson County","July 01, 2016","19,393","POINT (-90.5742294 42.1717426)"
"19107","Keokuk County","July 01, 1998","11,444","POINT (-92.1786426 41.336465)"
"19073","Greene County","July 01, 2018","8,965","POINT (-94.3968356 42.0362394)"
"19153","Polk County","July 01, 1992","333,568","POINT (-93.5735335 41.6855048)"
"19141","O'Brien County","July 01, 2016","13,926","POINT (-95.6248784 43.0837527)"
"19041","Clay County","July 01, 2015","16,498","POINT (-95.1509194 43.0825804)"
"19125","Marion County","July 01, 2023","33,718","POINT (-93.0994367 41.3344515)"
"19011","Benton County","July 01, 2014","25,623","POINT (-92.0656912 42.0801864)"
"19039","Clarke County","July 01, 2014","9,196","POINT (-93.7851579 41.0290323)"
"19075","Grundy County","July 01, 2019","12,232","POINT (-92.7914177 42.4018651)"
"19165","Shelby County","April 01, 2010","12,167","POINT (-95.3102113 41.6850926)"
"19145","Page County","July 01, 1993","16,678","POINT (-95.1501747 40.7391444)"
"19009","Audubon County","July 01, 2018","5,471","POINT (-94.9058222 41.6845893)"
"19181","Warren County","July 01, 1998","39,510","POINT (-93.5613594 41.3343735)"
"19171","Tama County","July 01, 2016","17,192","POINT (-92.5325425 42.0798117)"
"19103","Johnson County","April 01, 2020","152,854","POINT (-91.5880849 41.6715511)"
"19161","Sac County","July 01, 2008","10,199","POINT (-95.1053946 42.3862604)"
"19037","Chickasaw County","July 01, 2024","11,719","POINT (-92.3176637 43.0600414)"
"19023","Butler County","April 01, 2020","14,334","POINT (-92.7901934 42.7315661)"
"19099","Jasper County","July 01, 2004","37,256","POINT (-93.053765 41.6860394)"
"19105","Jones County","July 01, 2015","20,433","POINT (-91.1314352 42.1212397)"
"19141","O'Brien County","July 01, 2021","14,048","POINT (-95.6248784 43.0837527)"
"19169","Story County","July 01, 2022","99,995","POINT (-93.4650448 42.0362415)"
"19165","Shelby County","July 01, 2019","11,454","POINT (-95.3102113 41.6850926)"
"19033","Cerro Gordo County","July 01, 2016","43,096","POINT (-93.2608184 43.0815577)"
"19141","O'Brien County","July 01, 1991","15,451","POINT (-95.6248784 43.0837527)"
"19189","Winnebago County","April 01, 2020","10,679","POINT (-93.7341955 43.3775678)"
"19143","Osceola County","July 01, 1992","7,290","POINT (-95.6236852 43.3785704)"
"19031","Cedar County","July 01, 1998","18,102","POINT (-91.1324125 41.7723207)"
"19153","Polk County","July 01, 2019","490,161","POINT (-93.5735335 41.6855048)"
"19157","Poweshiek County","July 01, 1999","18,814","POINT (-92.5314684 41.6864422)"
"19193","Woodbury County","July 01, 2009","102,831","POINT (-96.0447673 42.3897169)"
"19141","O'Brien County","July 01, 2012","14,156","POINT (-95.6248784 43.0837527)"
"19059","Dickinson County","July 01, 2022","18,052","POINT (-95.1508301 43.3779848)"
"19075","Grundy County","July 01, 1991","12,017","POINT (-92.7914177 42.4018651)"
"19107","Keokuk County","July 01, 2003","11,194","POINT (-92.1786426 41.336465)"
"19195","Worth County","July 01, 2016","7,471","POINT (-93.2608476 43.3773984)"
"19155","Pottawattamie County","July 01, 1994","83,643","POINT (-95.5423935 41.3366123)"
"19007","Appanoose County","July 01, 2017","12,353","POINT (-92.8686104 40.7431635)"
"19069","Franklin County","April 01, 2010","10,680","POINT (-93.262473 42.7325458)"
"19001","Adair County","July 01, 1995","8,380","POINT (-94.4709413 41.3307464)"
"19173","Taylor County","July 01, 1998","7,016","POINT (-94.6964148 40.7374324)"
"19079","Hamilton County","July 01, 2022","14,848","POINT (-93.7068085 42.3837722)"
"19087","Henry County","July 01, 2003","20,105","POINT (-91.5445241 40.9879383)"
"19085","Harrison County","July 01, 2021","14,692","POINT (-95.8169209 41.6828528)"
"19121","Madison County","July 01, 1995","12,949","POINT (-94.0155619 41.3307142)"
"19045","Clinton County","July 01, 1999","50,553","POINT (-90.5319724 41.8980358)"
"19013","Black Hawk County","April 01, 1990","123,798","POINT (-92.3088197 42.4700957)"
"19041","Clay County","July 01, 2011","16,597","POINT (-95.1509194 43.0825804)"
"19011","Benton County","July 01, 2013","25,699","POINT (-92.0656912 42.0801864)"
"19025","Calhoun County","July 01, 1997","11,426","POINT (-94.6404136 42.3851848)"
"19159","Ringgold County","July 01, 2001","5,389","POINT (-94.2439719 40.7352023)"
"19071","Fremont County","July 01, 2011","7,371","POINT (-95.6046765 40.7455892)"
"19131","Mitchell County","July 01, 2018","10,571","POINT (-92.7890315 43.3564124)"
"19115","Louisa County","July 01, 1992","11,644","POINT (-91.2596184 41.2185073)"
"19037","Chickasaw County","July 01, 2009","12,017","POINT (-92.3176637 43.0600414)"
"19127","Marshall County","July 01, 1999","39,238","POINT (-92.9987706 42.0358499)"
"19087","Henry County","July 01, 2008","20,067","POINT (-91.5445241 40.9879383)"
"19045","Clinton County","April 01, 1990","51,040","POINT (-90.5319724 41.8980358)"
"19065","Fayette County","July 01, 2005","20,939","POINT (-91.8443207 42.8625919)"
"19051","Davis County","July 01, 2001","8,571","POINT (-92.4097173 40.7476891)"
"19009","Audubon County","July 01, 2014","5,771","POINT (-94.9058222 41.6845893)"
"19197","Wright County","July 01, 2001","14,055","POINT (-93.7351465 42.7331189)"
"19179","Wapello County","July 01, 2003","35,716","POINT (-92.4094499 41.0305845)"
"19073","Greene County","April 01, 2020","8,771","POINT (-94.3968356 42.0362394)"
"19165","Shelby County","July 01, 2018","11,559","POINT (-95.3102113 41.6850926)"
"19153","Polk County","July 01, 2003","390,092","POINT (-93.5735335 41.6855048)"
"19061","Dubuque County","July 01, 2004","90,618","POINT (-90.8824564 42.468832)"
"19169","Story County","July 01, 2002","81,612","POINT (-93.4650448 42.0362415)"
"19027","Carroll County","July 01, 1999","21,703","POINT (-94.8605593 42.0362382)"
"19067","Floyd County","July 01, 2007","16,224","POINT (-92.7890033 43.0599208)"
"19131","Mitchell County","July 01, 1995","10,974","POINT (-92.7890315 43.3564124)"
"19021","Buena Vista County","July 01, 1992","20,076","POINT (-95.151149 42.7354936)"
"19059","Dickinson County","July 01, 2007","16,586","POINT (-95.1508301 43.3779848)"
"19143","Osceola County","July 01, 2007","6,444","POINT (-95.6236852 43.3785704)"
"19105","Jones County","July 01, 1991","19,480","POINT (-91.1314352 42.1212397)"
"19087","Henry County","July 01, 1991","19,296","POINT (-91.5445241 40.9879383)"
"19033","Cerro Gordo County","April 01, 2020","43,127","POINT (-93.2608184 43.0815577)"
"19117","Lucas County","July 01, 2003","9,473","POINT (-93.3277207 41.0293738)"
"19149","Plymouth County","July 01, 1996","24,339","POINT (-96.2140431 42.7378346)"
"19149","Plymouth County","July 01, 2007","24,303","POINT (-96.2140431 42.7378346)"
"19001","Adair County","April 01, 2000","8,243","POINT (-94.4709413 41.3307464)"
"19035","Cherokee County","July 01, 2012","11,951","POINT (-95.6238055 42.7356226)"
"19171","Tama County","July 01, 1995","17,906","POINT (-92.5325425 42.0798117)"
"19095","Iowa County","July 01, 2021","16,583","POINT (-92.065524 41.6863229)"
"19107","Keokuk County","July 01, 2008","10,655","POINT (-92.1786426 41.336465)"
"19179","Wapello County","July 01, 1998","35,980","POINT (-92.4094499 41.0305845)"
"19143","Osceola County","July 01, 1996","7,138","POINT (-95.6236852 43.3785704)"
"19099","Jasper County","July 01, 2023","37,991","POINT (-93.053765 41.6860394)"
"19167","Sioux County","July 01, 2001","31,742","POINT (-96.1778827 43.0826174)"
"19161","Sac County","July 01, 1998","11,882","POINT (-95.1053946 42.3862604)"
"19147","Palo Alto County","April 01, 2020","8,996","POINT (-94.6781371 43.0820643)"
"19039","Clarke County","July 01, 1995","8,429","POINT (-93.7851579 41.0290323)"
"19039","Clarke County","July 01, 1994","8,549","POINT (-93.7851579 41.0290323)"
"19005","Allamakee County","July 01, 2006","14,442","POINT (-91.3780923 43.2842838)"
"19165","Shelby County","July 01, 2005","12,408","POINT (-95.3102113 41.6850926)"
"19103","Johnson County","July 01, 2022","156,815","POINT (-91.5880849 41.6715511)"
"19127","Marshall County","April 01, 2020","40,105","POINT (-92.9987706 42.0358499)"
"19159","Ringgold County","July 01, 2021","4,636","POINT (-94.2439719 40.7352023)"
"19113","Linn County","July 01, 2007","205,283","POINT (-91.5989646 42.0789478)"
"19067","Floyd County","July 01, 2016","15,857","POINT (-92.7890033 43.0599208)"
"19027","Carroll County","July 01, 2017","20,274","POINT (-94.8605593 42.0362382)"
"19175","Union County","July 01, 2006","11,990","POINT (-94.2423792 41.0277304)"
"19131","Mitchell County","April 01, 2000","10,872","POINT (-92.7890315 43.3564124)"
"19053","Decatur County","July 01, 2003","8,469","POINT (-93.7862815 40.7376827)"
"19069","Franklin County","July 01, 2021","9,949","POINT (-93.262473 42.7325458)"
"19111","Lee County","April 01, 2010","35,862","POINT (-91.479264 40.6419764)"
"19131","Mitchell County","July 01, 2024","10,632","POINT (-92.7890315 43.3564124)"
"19003","Adams County","April 01, 2020","3,704","POINT (-94.6991849 41.0289839)"
"19133","Monona County","July 01, 2022","8,515","POINT (-95.9599235 42.0516663)"
"19055","Delaware County","April 01, 2000","18,404","POINT (-91.3673502 42.471211)"
"19197","Wright County","July 01, 2024","12,729","POINT (-93.7351465 42.7331189)"
"19015","Boone County","July 01, 1992","25,335","POINT (-93.931671 42.0365493)"
"19135","Monroe County","July 01, 2017","7,798","POINT (-92.8689877 41.0297826)"
"19095","Iowa County","July 01, 2019","16,184","POINT (-92.065524 41.6863229)"
"19149","Plymouth County","July 01, 2021","25,738","POINT (-96.2140431 42.7378346)"
"19173","Taylor County","July 01, 2005","6,522","POINT (-94.6964148 40.7374324)"
"19187","Webster County","July 01, 1997","39,461","POINT (-94.1817881 42.4279662)"
"19051","Davis County","April 01, 1990","8,312","POINT (-92.4097173 40.7476891)"
"19013","Black Hawk County","July 01, 2012","131,878","POINT (-92.3088197 42.4700957)"
"19015","Boone County","July 01, 2023","26,567","POINT (-93.931671 42.0365493)"
"19117","Lucas County","July 01, 1994","9,181","POINT (-93.3277207 41.0293738)"
"19039","Clarke County","April 01, 2010","9,286","POINT (-93.7851579 41.0290323)"
"19079","Hamilton County","July 01, 2007","15,538","POINT (-93.7068085 42.3837722)"
"19079","Hamilton County","July 01, 2013","15,343","POINT (-93.7068085 42.3837722)"
"19161","Sac County","April 01, 2020","9,814","POINT (-95.1053946 42.3862604)"
"19071","Fremont County","July 01, 2005","7,553","POINT (-95.6046765 40.7455892)"
"19145","Page County","July 01, 2014","15,483","POINT (-95.1501747 40.7391444)"
"19143","Osceola County","July 01, 2024","6,036","POINT (-95.6236852 43.3785704)"
"19125","Marion County","July 01, 2019","33,253","POINT (-93.0994367 41.3344515)"
"19127","Marshall County","July 01, 2005","39,020","POINT (-92.9987706 42.0358499)"
"19125","Marion County","July 01, 2011","33,270","POINT (-93.0994367 41.3344515)"
"19117","Lucas County","July 01, 2014","8,636","POINT (-93.3277207 41.0293738)"
"19187","Webster County","July 01, 2002","39,672","POINT (-94.1817881 42.4279662)"
"19079","Hamilton County","July 01, 2017","15,032","POINT (-93.7068085 42.3837722)"
"19047","Crawford County","July 01, 2002","16,847","POINT (-95.3819678 42.0372125)"
"19123","Mahaska County","July 01, 2003","22,021","POINT (-92.6409094 41.3352035)"
"19081","Hancock County","July 01, 2004","11,670","POINT (-93.7342723 43.0818861)"
"19133","Monona County","July 01, 1997","10,069","POINT (-95.9599235 42.0516663)"
"19003","Adams County","July 01, 2015","3,754","POINT (-94.6991849 41.0289839)"
"19107","Keokuk County","July 01, 2016","10,170","POINT (-92.1786426 41.336465)"
"19179","Wapello County","July 01, 2011","35,486","POINT (-92.4094499 41.0305845)"
"19127","Marshall County","April 01, 1990","38,276","POINT (-92.9987706 42.0358499)"
"19069","Franklin County","July 01, 2008","10,567","POINT (-93.262473 42.7325458)"
"19191","Winneshiek County","July 01, 2009","20,629","POINT (-91.8437074 43.2906746)"
"19171","Tama County","July 01, 2023","16,787","POINT (-92.5325425 42.0798117)"
"19017","Bremer County","April 01, 2010","24,276","POINT (-92.3180548 42.7745873)"
"19167","Sioux County","July 01, 2014","34,635","POINT (-96.1778827 43.0826174)"
"19097","Jackson County","April 01, 2020","19,485","POINT (-90.5742294 42.1717426)"
"19177","Van Buren County","July 01, 1991","7,683","POINT (-91.9499871 40.7532294)"
"19135","Monroe County","July 01, 1992","8,169","POINT (-92.8689877 41.0297826)"
"19105","Jones County","July 01, 2022","20,960","POINT (-91.1314352 42.1212397)"
"19075","Grundy County","July 01, 1997","12,317","POINT (-92.7914177 42.4018651)"
"19091","Humboldt County","July 01, 2003","10,014","POINT (-94.2071868 42.7764686)"
"19165","Shelby County","April 01, 1990","13,230","POINT (-95.3102113 41.6850926)"
"19013","Black Hawk County","July 01, 2016","133,077","POINT (-92.3088197 42.4700957)"
"19061","Dubuque County","July 01, 2019","97,311","POINT (-90.8824564 42.468832)"
"19095","Iowa County","July 01, 1995","14,927","POINT (-92.065524 41.6863229)"
"19093","Ida County","July 01, 2024","6,810","POINT (-95.5134962 42.3868747)"
"19107","Keokuk County","July 01, 1993","11,592","POINT (-92.1786426 41.336465)"
"19195","Worth County","July 01, 2004","7,708","POINT (-93.2608476 43.3773984)"
"19145","Page County","July 01, 2018","15,229","POINT (-95.1501747 40.7391444)"
"19035","Cherokee County","April 01, 1990","14,098","POINT (-95.6238055 42.7356226)"
"19125","Marion County","April 01, 2010","33,309","POINT (-93.0994367 41.3344515)"
"19053","Decatur County","July 01, 2008","8,201","POINT (-93.7862815 40.7376827)"
"19135","Monroe County","July 01, 2004","7,784","POINT (-92.8689877 41.0297826)"
"19015","Boone County","July 01, 2003","26,123","POINT (-93.931671 42.0365493)"
"19135","Monroe County","July 01, 2011","8,060","POINT (-92.8689877 41.0297826)"
"19151","Pocahontas County","July 01, 1997","8,970","POINT (-94.6787466 42.7341351)"
"19123","Mahaska County","July 01, 1992","21,516","POINT (-92.6409094 41.3352035)"
"19093","Ida County","April 01, 2000","7,840","POINT (-95.5134962 42.3868747)"
"19167","Sioux County","July 01, 2013","34,503","POINT (-96.1778827 43.0826174)"
"19145","Page County","July 01, 2008","15,527","POINT (-95.1501747 40.7391444)"
"19067","Floyd County","April 01, 2000","16,900","POINT (-92.7890033 43.0599208)"
"19019","Buchanan County","July 01, 2024","20,733","POINT (-91.8378392 42.4707777)"
"19003","Adams County","July 01, 2016","3,692","POINT (-94.6991849 41.0289839)"
"19083","Hardin County","July 01, 1999","18,912","POINT (-93.2404025 42.3838803)"
"19009","Audubon County","April 01, 2020","5,674","POINT (-94.9058222 41.6845893)"
"19017","Bremer County","July 01, 2004","23,369","POINT (-92.3180548 42.7745873)"
"19109","Kossuth County","July 01, 2005","15,956","POINT (-94.2067199 43.20413)"
"19041","Clay County","July 01, 1994","17,700","POINT (-95.1509194 43.0825804)"
"19137","Montgomery County","July 01, 2024","10,063","POINT (-95.1563758 41.03014)"
"19119","Lyon County","July 01, 2006","11,332","POINT (-96.2102924 43.380497)"
"19175","Union County","July 01, 1996","12,325","POINT (-94.2423792 41.0277304)"
"19069","Franklin County","July 01, 2022","9,918","POINT (-93.262473 42.7325458)"
"19089","Howard County","July 01, 2008","9,436","POINT (-92.3171989 43.3567673)"
"19019","Buchanan County","July 01, 1995","21,230","POINT (-91.8378392 42.4707777)"
"19183","Washington County","July 01, 2005","21,037","POINT (-91.7178676 41.335591)"
"19077","Guthrie County","July 01, 2012","10,762","POINT (-94.501055 41.6837548)"
"19137","Montgomery County","July 01, 2023","10,148","POINT (-95.1563758 41.03014)"
"19143","Osceola County","July 01, 2013","6,236","POINT (-95.6236852 43.3785704)"
"19167","Sioux County","July 01, 2024","36,554","POINT (-96.1778827 43.0826174)"
"19101","Jefferson County","July 01, 1991","16,313","POINT (-91.9488774 41.0317596)"
"19101","Jefferson County","July 01, 2017","18,219","POINT (-91.9488774 41.0317596)"
"19005","Allamakee County","July 01, 2021","13,965","POINT (-91.3780923 43.2842838)"
