"FIPS","County","Year","Population","Primary Point"
"19141","O'Brien County","April 01, 2000","15,102","POINT (-95.6248784 43.0837527)"
"19077","Guthrie County","July 01, 1997","11,268","POINT (-94.501055 41.6837548)"
"19083","Hardin County","July 01, 2014","17,332","POINT (-93.2404025 42.3838803)"
"19105","Jones County","July 01, 2006","20,324","POINT (-91.1314352 42.1212397)"
"19179","Wapello County","July 01, 1999","35,948","POINT (-92.4094499 41.0305845)"
"19067","Floyd County","July 01, 1994","17,060","POINT (-92.7890033 43.0599208)"
"19179","Wapello County","July 01, 2013","35,507","POINT (-92.4094499 41.0305845)"
"19103","Johnson County","July 01, 2003","117,459","POINT (-91.5880849 41.6715511)"
"19181","Warren County","July 01, 2019","51,466","POINT (-93.5613594 41.3343735)"
"19129","Mills County","July 01, 1998","14,145","POINT (-95.6213267 41.0334523)"
