"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2024","96","WINNESHIEK","5,133,231","1,430,069","0","2,633,484","8,379,519","748,221","3,377,261","2,354","0","2,459,982","24,164,121","2,936,572","0","27,100,693",
"2019","56","LEE","6,524,674","4,269,934","1,561,270","1,511,249","5,734,394","1,200,099","2,300,061","96,596","857,374","878,497","24,934,148","1,879,984","0","26,814,132",
"2021","13","CALHOUN","3,065,370","1,229,636","507,417","1,303,770","4,986,231","478,329","1,425,673","99,828","0","492,361","13,588,615","1,758,551","0","15,347,166",
"2012","61","MADISON","2,745,345","643,876","1,407,097","637,666","4,569,008","456,090","860,975","0","93,710","1,241,392","12,655,159","1,458,915","0","14,114,074",
"2011","60","LYON","2,647,818","794,081","1,048,580","707,324","4,652,244","419,781","953,436","105,742","242,866","1,092,719","12,664,591","1,515,669","0","14,180,260",
"2016","59","LUCAS","1,027,966","573,833","652,376","346,861","3,407,501","276,024","858,529","0","283,350","114,586","7,541,026","587,785","0","8,128,811",
"2013","55","KOSSUTH","2,674,849","303,726","1,552,611","914,535","6,161,792","731,942","1,710,483","70,343","0","1,561,301","15,681,582","2,899,200","0","18,580,782",
"2013","94","WEBSTER","5,043,176","2,608,259","4,197,885","1,431,011","7,056,998","880,854","2,656,107","952,565","926,374","3,602,439","29,355,668","3,020,693","0","32,376,361",
"2011","88","UNION","1,443,469","521,138","1,529,193","1,197,745","4,388,005","397,182","1,467,876","0","1,816,877","6,876,913","19,638,398","1,053,343","0","20,691,741",
"2010","56","LEE","3,818,972","3,348,951","4,645,730","1,492,312","3,843,629","895,549","2,172,080","590,359","747,088","2,416,063","23,970,733","1,243,000","0","25,213,733",
"2011","16","CEDAR","2,864,141","1,245,880","2,198,912","1,511,261","4,852,390","446,104","1,290,737","15,307","0","472,843","14,897,575","1,903,071","0","16,800,646",
"2016","39","GUTHRIE","1,649,373","1,340,137","216,485","1,131,306","4,581,163","442,771","902,223","14,941","301,571","5,278,568","15,858,538","1,679,928","0","17,538,466",
"2014","6","BENTON","3,375,802","774,106","743,028","2,029,100","6,842,491","673,287","1,352,967","110,078","99,400","1,056,480","17,056,739","4,305,797","0","21,362,536",
"2011","73","PAGE","2,105,063","626,714","1,817,903","419,707","3,318,430","430,812","933,466","3,287","108,563","1,890,309","11,654,254","715,948","0","12,370,202",
"2011","41","HANCOCK","1,369,713","1,362,999","1,463,208","572,621","4,402,698","310,313","880,633","833","0","765,062","11,128,080","1,725,000","0","12,853,080",
"2022","57","LINN","35,777,722","27,077,527","10,314,372","8,789,057","16,003,140","5,462,476","18,834,423","0","5,801,670","15,479,543","143,539,930","12,297,618","0","155,837,548",
"2017","39","GUTHRIE","1,678,413","1,420,940","263,250","1,380,772","5,535,566","396,253","1,099,953","0","479,547","2,605,042","14,859,736","1,729,996","0","16,589,732",
"2014","23","CLINTON","7,047,516","1,486,870","2,987,716","2,035,997","6,129,905","1,163,287","4,500,338","4,815","1,374,527","375,018","27,105,989","1,562,699","0","28,668,688",
"2017","94","WEBSTER","5,109,301","3,693,202","2,270,027","1,861,467","8,377,235","917,401","2,800,548","404,155","1,737,984","5,144,521","32,315,841","4,895,053","0","37,210,894",
"2017","89","VAN BUREN","1,222,008","518,450","228,622","376,141","2,981,389","257,665","740,332","329,635","0","167,804","6,822,046","705,136","0","7,527,182",
"2010","24","CRAWFORD","1,731,896","2,481,249","1,642,501","998,282","7,674,200","457,888","1,094,240","0","245,330","675,405","17,000,991","1,511,488","0","18,512,479",
"2020","6","BENTON","4,527,727","948,774","996,648","4,844,313","9,250,185","742,020","1,880,982","112,664","0","1,292,538","24,595,851","4,270,119","0","28,865,970",
"2010","9","BREMER","2,950,907","583,381","1,954,365","1,123,550","3,833,500","665,020","1,596,870","68,328","465,060","670,170","13,911,151","1,799,310","0","15,710,461",
"2010","76","POCAHONTAS","1,526,564","1,372,248","845,678","882,905","3,959,179","304,580","1,306,277","8,339","0","112,463","10,318,233","950,000","0","11,268,233",
"2020","41","HANCOCK","1,958,754","365,421","378,924","685,303","6,302,688","531,338","1,338,558","5,092","0","109,873","11,675,951","2,475,519","0","14,151,470",
"2015","74","PALO ALTO","1,758,241","323,350","502,763","1,295,243","3,780,472","403,729","1,175,756","0","8,089,623","5,237,672","22,566,849","1,652,978","0","24,219,827",
"2012","93","WAYNE","1,029,029","889,716","721,781","233,050","2,818,370","198,394","539,135","23,092","402,331","110,222","6,965,120","646,692","0","7,611,812",
"2011","21","CLAY","2,362,257","544,125","1,617,889","1,344,413","4,044,735","412,105","1,560,677","3,236","722,484","604,212","13,216,133","1,939,621","0","15,155,754",
"2010","59","LUCAS","932,610","645,033","945,087","170,794","2,405,915","239,313","931,752","0","47,900","1,727,144","8,045,548","859,268","0","8,904,816",
"2019","24","CRAWFORD","2,550,854","2,404,444","491,218","997,279","7,911,825","674,750","1,313,475","0","154,928","1,029,027","17,527,800","3,842,716","0","21,370,516",
"2013","82","SCOTT","27,661,022","5,256,670","8,216,388","4,591,242","4,969,031","2,178,374","9,121,577","4,381,594","4,368,485","3,751,882","74,496,265","18,849,747","0","93,346,012",
"2012","38","GRUNDY","1,664,374","543,162","1,158,147","843,425","4,008,514","360,584","1,678,386","0","1,290,880","1,390,384","12,937,856","1,449,998","0","14,387,854",
"2012","49","JACKSON","1,712,835","304,533","2,533,359","1,181,847","4,439,558","518,812","1,350,317","0","0","146,350","12,187,611","1,150,005","0","13,337,616",
