"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2012","79","POWESHIEK","2,750,189","332,670","2,259,553","515,771","4,919,825","686,318","1,117,130","244,179","605,628","148,923","13,580,186","2,487,282","0","16,067,468",
"2020","79","POWESHIEK","3,319,540","319,517","655,211","650,751","5,991,606","696,431","1,033,434","421,256","744,620","1,050,356","14,882,722","3,820,869","0","18,703,591",
"2024","58","LOUISA","4,374,034","903,483","0","883,741","4,437,744","463,511","2,161,869","0","0","490,990","13,715,372","2,780,103","0","16,495,475",
"2020","5","AUDUBON","1,495,018","633,458","177,493","588,279","5,135,871","405,007","857,755","0","355,138","97,724","9,745,743","830,250","0","10,575,993",
"2024","16","CEDAR","5,363,334","1,712,928","0","1,872,400","7,916,491","659,558","2,605,819","12,659","719,128","3,937,833","24,800,150","2,970,946","0","27,771,096",
"2024","37","GREENE","3,153,989","714,018","0","817,733","6,918,911","413,232","2,232,907","70,517","1,086,215","2,678,452","18,085,974","2,523,006","0","20,608,980",
"2013","12","BUTLER","1,961,138","1,251,448","25,414,346","687,166","4,954,762","472,948","1,492,111","0","493,777","712,985","37,440,681","2,249,351","0","39,690,032",
"2017","49","JACKSON","2,247,107","257,495","1,255,714","1,532,157","5,362,842","804,228","1,702,094","0","0","730,866","13,892,503","1,101,411","0","14,993,914",
"2020","84","SIOUX","4,610,994","803,901","580,373","2,022,898","6,512,112","1,078,443","2,590,477","100,776","1,307,010","5,356,710","24,963,694","4,493,721","0","29,457,415",
"2010","6","BENTON","3,011,873","838,020","1,780,567","1,859,984","6,181,793","588,418","1,284,715","0","0","1,192,788","16,738,158","3,783,343","0","20,521,501",
"2018","82","SCOTT","30,356,382","5,972,000","4,188,285","4,871,039","5,527,111","2,471,844","10,821,868","525,000","3,391,122","5,881,754","74,006,405","15,709,549","0","89,715,954",
"2022","18","CHEROKEE","2,533,708","391,629","357,924","1,055,296","6,276,211","642,489","1,526,564","25,679","0","435,079","13,244,579","2,228,787","0","15,473,366",
"2014","54","KEOKUK","970,969","558,142","166,180","355,148","4,394,559","338,558","1,710,151","0","0","293,887","8,787,594","1,309,000","0","10,096,594",
"2011","22","CLAYTON","2,389,573","709,949","2,051,176","1,145,132","5,987,370","579,570","1,485,111","0","285,239","1,433,476","16,066,596","1,400,000","0","17,466,596",
"2012","50","JASPER","4,754,835","1,845,469","4,290,164","1,324,085","6,654,975","914,826","2,786,096","15,830","3,960,276","1,929,465","28,476,021","4,387,623","0","32,863,644",
"2021","54","KEOKUK","1,257,567","613,382","425,240","378,774","5,566,672","371,250","1,745,458","0","202,955","400,813","10,962,111","2,180,955","0","13,143,066",
"2013","83","SHELBY","1,692,558","587,798","1,731,319","401,361","4,471,948","391,699","1,135,765","10,714","737,909","731,807","11,892,878","2,724,510","0","14,617,388",
"2022","82","SCOTT","36,757,083","6,307,195","4,569,876","6,380,817","6,519,557","2,829,804","12,940,341","0","4,843,146","11,447,091","92,594,910","21,306,843","0","113,901,753",
"2018","87","TAYLOR","1,560,098","1,234,413","95,508","228,110","4,233,036","324,015","823,747","0","952,982","39,771","9,491,680","825,962","0","10,317,642",
"2014","45","HOWARD","1,344,183","556,146","494,451","1,166,893","4,269,278","333,684","791,685","0","1,152,254","4,201,485","14,310,059","1,906,843","0","16,216,902",
"2016","62","MAHASKA","3,142,976","634,100","1,168,153","973,053","6,050,436","610,740","1,295,220","938,593","8,490","4,430","14,826,191","2,231,398","0","17,057,589",
"2015","17","CERRO GORDO","8,179,061","5,113,643","2,561,090","1,275,295","5,622,014","1,453,982","2,995,170","0","1,027,135","1,762,502","29,989,892","5,847,670","0","35,837,562",
"2016","21","CLAY","2,867,671","751,313","350,235","1,491,614","4,936,662","430,659","1,878,092","161,023","500,848","1,454,143","14,822,260","2,306,230","0","17,128,490",
"2012","72","OSCEOLA","1,315,595","227,007","614,041","381,308","2,721,702","276,960","679,498","65,543","424,788","128,186","6,834,628","1,119,537","0","7,954,165",
"2016","84","SIOUX","4,227,864","758,236","1,481,060","1,483,616","5,314,406","933,281","2,183,725","65,406","3,040,636","1,066,677","20,554,907","3,017,012","0","23,571,919",
"2023","19","CHICKASAW","3,987,284","1,489,048","0","757,414","6,930,486","499,590","1,713,437","6,224","478,060","1,045,099","16,906,642","3,107,868","0","20,014,510",
"2012","5","AUDUBON","1,048,565","568,083","1,033,801","468,036","3,276,566","317,447","704,664","0","79,573","248,823","7,745,558","807,451","0","8,553,009",
"2016","4","APPANOOSE","2,131,862","742,900","808,072","795,101","3,571,180","577,131","908,506","0","152,012","117,029","9,803,793","710,699","0","10,514,492",
"2024","52","JOHNSON","32,514,567","18,996,796","0","8,126,253","11,416,403","3,189,960","15,418,520","47,815","20,735,431","23,668,964","134,114,709","28,812,802","0","162,927,511",
"2020","52","JOHNSON","25,616,353","11,277,137","7,214,664","5,940,971","9,913,812","2,599,798","9,860,835","48,748","21,751,859","17,612,042","111,836,219","17,866,786","0","129,703,005",
"2018","70","MUSCATINE","10,053,311","1,085,436","1,540,679","1,169,241","6,019,012","861,778","2,836,858","0","2,012,336","2,506,327","28,084,978","4,256,329","0","32,341,307",
"2021","85","STORY","13,910,176","2,552,601","2,424,108","4,760,671","6,976,287","1,514,141","7,048,840","0","1,625,180","5,040,577","45,852,581","3,374,960","0","49,227,541",
"2010","11","BUENA VISTA","2,418,498","1,199,596","1,263,632","635,725","3,958,078","635,106","1,203,752","28,756","4,190,945","958,397","16,492,485","1,801,700","0","18,294,185",
"2020","89","VAN BUREN","1,446,975","503,585","251,728","396,463","3,592,635","309,610","736,643","2,291","0","138,367","7,378,297","968,216","0","8,346,513",
"2024","41","HANCOCK","2,606,081","480,016","0","771,385","7,034,154","687,499","1,656,650","5,031","251,800","2,454,439","15,947,055","2,807,210","0","18,754,265",
"2013","89","VAN BUREN","1,137,543","535,955","505,515","356,311","3,323,659","296,413","556,119","645","0","735,587","7,447,747","672,640","1,378,033","9,498,420",
"2013","88","UNION","1,505,497","415,432","692,997","437,672","3,351,398","439,498","955,268","0","1,686,999","625,045","10,109,806","793,271","0","10,903,077",
"2010","57","LINN","22,889,957","20,386,771","30,632,342","8,331,197","11,701,595","3,796,412","9,934,940","25,302","0","11,610,963","119,309,479","23,690,351","0","142,999,830",
"2021","49","JACKSON","2,777,702","453,550","519,649","1,793,324","6,500,228","781,242","1,797,623","0","0","194,503","14,817,821","1,713,200","0","16,531,021",
"2023","24","CRAWFORD","3,032,381","2,438,545","0","1,340,729","9,548,951","680,650","1,690,667","0","150,080","1,304,558","20,186,561","3,833,873","0","24,020,434",
"2015","39","GUTHRIE","1,239,173","1,314,815","187,432","1,086,195","4,656,507","400,867","928,802","0","97,683","1,478,277","11,389,751","1,656,831","0","13,046,582",
"2015","56","LEE","4,676,824","4,319,594","1,186,244","1,290,391","4,475,545","919,240","2,137,878","62,076","906,756","2,706,684","22,681,232","1,589,775","0","24,271,007",
"2011","44","HENRY","2,938,859","849,249","2,627,986","907,389","4,102,154","488,946","1,089,838","51,237","146,317","756,800","13,958,775","1,043,037","0","15,001,812",
"2015","6","BENTON","3,662,595","776,931","704,107","3,576,967","7,359,479","659,264","1,471,006","93,256","97,760","676,921","19,078,286","3,894,652","0","22,972,938",
"2021","76","POCAHONTAS","2,340,790","1,446,451","202,715","1,046,492","4,539,295","386,604","1,683,955","212,015","0","219,175","12,077,492","1,862,331","0","13,939,823",
"2018","6","BENTON","4,019,187","980,849","843,669","2,125,837","7,243,446","727,617","1,973,234","109,663","139,511","433,638","18,596,651","4,341,288","0","22,937,939",
"2017","23","CLINTON","7,626,444","1,380,845","2,927,656","1,781,962","6,355,895","1,112,123","3,571,647","26,284","1,371,208","3,668,328","29,822,392","3,097,547","0","32,919,939",
"2022","88","UNION","2,178,073","511,134","268,958","788,504","4,116,871","614,245","1,099,199","40,000","1,867,923","398,740","11,883,647","1,139,865","0","13,023,512",
"2014","77","POLK","67,239,373","32,596,185","24,635,348","11,158,269","10,270,607","7,036,053","29,154,648","0","18,231,571","24,778,499","225,100,553","12,925,655","0","238,026,208",
"2022","46","HUMBOLDT","3,013,795","377,025","569,565","792,065","4,160,569","501,866","1,349,110","13,794","332,363","622,391","11,732,543","1,838,045","0","13,570,588",
"2018","23","CLINTON","8,101,363","2,007,135","2,209,643","1,845,450","6,970,751","1,183,401","3,826,564","8,691","3,228,932","10,599,038","39,980,968","2,108,776","0","42,089,744",
"2023","41","HANCOCK","2,342,708","384,825","0","692,979","6,178,843","570,129","1,528,515","4,388","253,979","1,735,890","13,692,256","2,645,848","0","16,338,104",
"2022","73","PAGE","2,976,743","530,245","427,588","843,645","5,251,950","594,066","1,286,971","0","428,964","57,269","12,397,441","1,616,233","0","14,013,674",
"2017","6","BENTON","3,872,835","917,525","961,005","1,774,194","7,643,811","711,229","1,800,472","119,124","183,694","2,141,797","20,125,686","4,328,749","0","24,454,435",
"2023","56","LEE","11,522,556","5,425,061","0","1,966,613","6,861,003","1,394,519","3,670,317","10,500","1,091,189","2,259,094","34,200,852","5,463,332","0","39,664,184",
"2017","55","KOSSUTH","2,957,238","251,849","877,508","1,077,007","7,351,852","963,834","2,118,680","83,436","0","2,264,966","17,946,370","2,805,572","0","20,751,942",
"2019","23","CLINTON","8,558,042","1,964,634","1,633,176","1,864,781","7,155,956","1,225,919","4,910,457","0","2,917,422","14,580,889","44,811,276","3,978,209","0","48,789,485",
"2019","55","KOSSUTH","3,148,976","244,597","628,262","1,150,996","7,653,167","861,709","2,466,222","85,158","0","1,388,223","17,627,310","2,864,441","0","20,491,751",
"2020","74","PALO ALTO","2,170,651","353,882","141,779","1,485,600","4,909,458","483,209","1,277,406","0","2,948,688","375,684","14,146,357","2,819,804","0","16,966,161",
"2013","44","HENRY","2,948,882","906,154","771,407","969,489","3,720,147","526,221","1,149,290","51,714","230,821","956,340","12,230,465","1,106,292","0","13,336,757",
"2015","44","HENRY","3,246,178","824,436","428,802","1,315,451","3,896,915","557,004","1,340,787","56,424","232,303","537,303","12,435,603","1,332,137","0","13,767,740",
"2023","68","MONROE","2,176,749","794,956","0","444,075","3,459,325","498,979","1,387,740","0","954,230","497,087","10,213,141","1,527,400","0","11,740,541",
"2011","55","KOSSUTH","2,361,263","380,081","1,953,340","831,176","6,224,734","656,398","1,559,728","68,668","141,659","1,532,281","15,709,328","2,916,577","0","18,625,905",
"2022","35","FRANKLIN","2,183,141","1,269,388","1,334,726","1,365,863","6,261,762","612,799","2,264,082","0","8,760,258","509,894","24,561,913","4,216,604","0","28,778,517",
"2019","40","HAMILTON","3,351,780","1,629,227","1,430,646","1,672,022","5,871,642","534,889","1,712,059","0","2,398,340","2,709,853","21,310,458","3,663,452","0","24,973,910",
"2024","73","PAGE","3,130,618","501,302","0","1,402,345","5,707,047","656,893","1,654,569","0","1,881,292","610,144","15,544,210","1,710,733","0","17,254,943",
"2016","77","POLK","70,121,781","34,762,750","26,249,674","14,223,848","10,060,591","7,474,894","32,181,469","0","22,505,696","31,626,047","249,206,750","15,539,004","0","264,745,754",
"2018","38","GRUNDY","2,289,744","478,542","983,355","838,211","5,005,516","433,893","1,681,185","0","1,825,378","1,078,726","14,614,550","1,907,411","0","16,521,961",
"2011","76","POCAHONTAS","1,648,371","1,375,477","819,516","929,689","3,548,147","324,385","1,465,823","560,648","0","1,309,359","11,981,415","1,575,000","0","13,556,415",
"2021","7","BLACK HAWK","20,835,035","6,627,264","4,063,190","3,060,849","7,413,919","2,588,753","5,973,923","0","6,324,543","4,732,225","61,619,701","14,364,882","5,419,842","81,404,425",
"2014","9","BREMER","3,481,638","400,098","1,247,545","1,256,235","4,314,335","696,415","1,370,074","33,430","327,330","525,379","13,652,479","3,041,960","0","16,694,439",
"2022","9","BREMER","4,683,090","836,040","998,389","1,761,303","5,899,551","869,019","2,116,251","61,482","171,745","3,272,516","20,669,386","3,230,560","0","23,899,946",
"2019","8","BOONE","3,996,472","618,385","788,310","1,149,851","6,515,822","623,317","1,928,029","102,994","658,592","78,473","16,460,245","3,335,096","0","19,795,341",
"2011","87","TAYLOR","817,406","961,236","505,220","173,144","2,980,114","285,914","601,417","0","208,634","603,301","7,136,386","685,081","0","7,821,467",
"2020","12","BUTLER","2,335,626","1,280,155","591,069","1,549,041","5,875,474","554,782","1,863,117","0","651,410","1,638,364","16,339,038","3,733,829","0","20,072,867",
"2022","56","LEE","9,860,097","4,757,147","1,196,890","1,839,773","6,112,907","1,257,195","3,882,387","27,207","1,092,330","4,337,755","34,363,688","2,611,758","0","36,975,446",
"2021","39","GUTHRIE","2,258,503","1,518,241","291,291","1,579,266","7,045,625","418,604","1,578,360","4,288","1,563,126","4,651,794","20,909,098","2,429,627","0","23,338,725",
"2010","43","HARRISON","1,782,774","1,367,233","1,854,580","845,934","4,450,656","444,290","1,694,521","0","495,472","1,500,114","14,435,574","1,293,473","0","15,729,047",
"2024","6","BENTON","6,269,121","1,204,257","0","2,192,481","10,149,780","1,090,780","3,797,858","64,484","811,850","2,031,047","27,611,658","3,580,216","0","31,191,874",
"2017","90","WAPELLO","4,191,232","1,182,575","1,156,831","830,015","4,522,551","611,789","3,386,397","63,398","768,865","1,165,367","17,879,020","1,150,000","0","19,029,020",
"2024","56","LEE","12,358,847","5,315,452","0","2,501,073","8,607,335","1,356,350","6,052,305","638,211","1,090,696","985,781","38,906,050","2,811,051","0","41,717,101",
"2017","17","CERRO GORDO","8,722,194","5,006,177","2,744,081","1,360,423","5,669,505","1,220,779","3,363,700","0","1,429,923","3,632,991","33,149,773","7,340,290","0","40,490,063",
"2018","50","JASPER","7,080,595","1,950,152","756,136","1,411,004","10,828,263","1,222,174","3,336,665","203,000","1,854,229","971,449","29,613,667","5,856,294","3,500,000","38,969,961",
"2014","22","CLAYTON","2,766,655","670,121","609,626","1,316,120","7,635,188","672,355","1,500,000","559","333,895","1,172,330","16,676,849","1,731,096","0","18,407,945",
"2010","25","DALLAS","6,964,083","2,818,531","3,872,191","2,902,207","5,917,634","1,520,862","1,582,369","33,157","1,624,943","1,860,329","29,096,306","5,903,782","0","35,000,088",
"2019","83","SHELBY","2,304,864","563,956","264,705","410,691","6,313,184","407,961","1,479,208","0","100","1,026,015","12,770,684","3,860,303","0","16,630,987",
"2018","94","WEBSTER","5,152,249","4,430,820","2,204,611","1,766,187","8,107,736","975,435","3,008,403","105,428","1,836,840","6,012,000","33,599,709","5,957,195","0","39,556,904",
"2020","57","LINN","31,777,138","16,521,626","10,806,476","8,586,522","15,291,796","5,075,663","17,012,228","0","6,767,575","41,858,637","153,697,661","27,600,190","0","181,297,851",
"2012","91","WARREN","4,663,256","3,032,794","3,589,951","1,441,734","5,189,826","816,171","2,608,709","17,828","25,905","1,169,343","22,555,517","2,478,238","0","25,033,755",
"2023","73","PAGE","3,014,909","551,491","0","2,885,599","5,053,613","634,416","1,551,848","0","351,752","100,000","14,143,628","1,616,233","0","15,759,861",
"2024","1","ADAIR","2,286,328","352,301","0","674,805","6,004,822","592,419","1,126,466","0","3,463,553","3,599,263","18,099,957","1,588,279","0","19,688,236",
"2013","5","AUDUBON","1,047,272","488,973","305,462","477,955","3,615,093","315,013","645,052","0","77,704","468,783","7,441,307","730,393","0","8,171,700",
"2024","90","WAPELLO","6,363,399","633,083","0","1,652,809","6,277,980","874,613","7,262,840","78,265","50,690","2,028,522","25,222,201","1,322,000","0","26,544,201",
"2013","24","CRAWFORD","1,898,959","2,389,636","880,043","933,185","6,567,503","517,847","1,170,257","0","244,260","264,442","14,866,132","1,963,500","0","16,829,632",
"2015","71","OBRIEN","2,927,440","430,806","887,192","856,367","4,321,214","522,872","1,178,249","6,958","862,618","494,654","12,488,370","2,574,908","0","15,063,278",
"2023","80","RINGGOLD","1,737,289","1,074,407","0","790,874","4,490,008","317,191","1,190,726","0","191,000","325,602","10,117,097","950,000","0","11,067,097",
"2014","41","HANCOCK","1,573,833","378,888","502,406","499,546","4,956,903","393,639","896,959","415","0","590,113","9,792,702","1,980,000","0","11,772,702",
"2010","38","GRUNDY","1,544,621","406,260","1,052,918","791,195","4,246,442","345,410","1,328,591","0","16,648,479","757,436","27,121,352","1,078,912","0","28,200,264",
"2022","78","POTTAWATTAMIE","34,175,051","4,719,564","3,004,515","11,416,715","14,917,243","2,394,979","15,756,287","0","3,405,303","5,257,120","95,046,777","13,290,783","0","108,337,560",
"2022","41","HANCOCK","2,136,429","369,512","529,272","736,716","5,877,194","563,047","1,627,575","4,774","0","1,353,324","13,197,843","2,716,427","0","15,914,270",
"2024","97","WOODBURY","24,316,762","5,196,973","0","4,275,340","10,024,884","2,559,608","16,274,421","1,021,162","6,901,408","4,994,724","75,565,282","18,250,244","0","93,815,526",
"2010","26","DAVIS","954,041","204,256","687,696","330,512","2,800,480","320,587","945,765","20,389","0","146,384","6,410,110","612,436","0","7,022,546",
"2022","67","MONONA","2,766,866","362,310","198,258","949,498","6,508,337","531,350","1,639,952","0","0","1,013,779","13,970,350","1,578,087","0","15,548,437",
"2016","58","LOUISA","2,821,526","783,531","305,511","569,264","3,644,340","358,813","1,077,327","685","344,430","1,525,473","11,430,900","1,783,787","0","13,214,687",
"2012","60","LYON","2,903,469","784,879","988,223","765,893","5,080,733","474,243","1,036,436","80,478","241,523","1,615,066","13,970,943","1,613,253","0","15,584,196",
"2013","93","WAYNE","1,190,372","1,027,522","477,271","222,564","3,014,293","223,245","742,658","14,370","399,976","58,777","7,371,048","656,724","0","8,027,772",
"2010","53","JONES","2,072,627","765,589","2,132,262","1,704,572","5,254,099","568,562","1,589,379","77,013","36,705","1,396,919","15,597,727","1,582,500","0","17,180,227",
"2020","66","MITCHELL","1,951,332","1,014,186","567,945","2,266,127","5,466,863","407,303","2,080,417","0","12,536,479","415,866","26,706,518","2,773,217","0","29,479,735",
"2024","24","CRAWFORD","3,356,307","2,583,658","0","1,407,655","9,986,887","783,933","1,767,031","0","152,140","1,615,937","21,653,548","4,060,920","0","25,714,468",
"2017","32","EMMET","1,842,763","794,329","614,882","454,791","2,745,593","442,290","1,119,489","0","0","4,540","8,018,677","1,107,239","0","9,125,916",
"2023","1","ADAIR","2,192,309","360,624","0","771,003","6,264,044","506,969","1,081,296","0","3,075,047","5,442,123","19,693,415","1,165,855","0","20,859,270",
"2010","15","CASS","1,659,802","534,356","2,085,495","378,111","4,251,396","397,981","1,019,959","1,489,345","52,295","1,137,459","13,006,199","1,933,028","0","14,939,227",
"2015","76","POCAHONTAS","1,912,587","1,238,837","408,617","1,002,322","4,029,688","324,375","1,318,200","9,329","86,435","398,545","10,728,935","1,421,875","0","12,150,810",
"2024","45","HOWARD","2,553,025","354,808","0","2,545,152","5,046,730","482,705","1,715,339","0","1,325,645","2,734,040","16,757,444","2,813,920","0","19,571,364",
"2011","86","TAMA","2,904,862","1,431,941","1,839,031","789,748","5,982,692","434,204","990,459","112","0","270,287","14,643,336","1,757,564","0","16,400,900",
"2023","12","BUTLER","2,512,943","1,290,343","0","1,754,085","6,731,397","623,470","1,999,757","0","1,429,643","4,480,902","20,822,540","3,308,119","0","24,130,659",
"2017","27","DECATUR","1,434,728","660,453","389,141","501,362","3,651,176","299,602","771,365","0","326,723","124,867","8,159,417","524,812","0","8,684,229",
"2017","93","WAYNE","1,540,327","1,081,432","199,845","475,078","3,339,624","256,627","795,135","15,867","260,743","810,208","8,774,886","637,686","0","9,412,572",
"2013","76","POCAHONTAS","1,671,722","1,216,333","589,664","994,361","3,090,109","279,402","1,153,931","8,794","0","229,941","9,234,257","1,110,000","0","10,344,257",
"2015","10","BUCHANAN","3,301,254","567,853","1,112,670","1,101,598","5,857,953","677,836","1,415,249","63,411","606,242","1,445,432","16,149,498","2,542,498","0","18,691,996",
"2011","12","BUTLER","1,847,968","1,431,765","14,663,690","647,254","4,799,497","427,051","1,496,570","17,785","77,371","2,307,345","27,716,296","2,909,238","0","30,625,534",
"2023","44","HENRY","5,000,252","1,519,052","0","1,277,774","6,337,251","773,167","2,322,324","76,207","878,915","2,267,697","20,452,639","1,882,958","0","22,335,597",
"2022","77","POLK","89,525,734","38,658,382","27,216,004","34,551,592","12,102,849","9,271,197","145,597,951","0","23,174,883","30,440,984","410,539,576","46,364,820","3,405,000","460,309,396",
"2015","93","WAYNE","1,322,702","1,240,165","176,641","353,982","3,103,482","218,275","930,714","12,763","129,563","626,253","8,114,540","736,605","0","8,851,145",
"2023","37","GREENE","2,967,377","652,113","0","768,070","6,065,551","489,847","2,250,769","66,120","511,535","685,422","14,456,804","2,101,342","0","16,558,146",
"2016","26","DAVIS","1,163,971","289,250","504,433","411,358","4,825,317","347,102","794,902","29,719","31,819","3,025,094","11,422,965","646,741","0","12,069,706",
"2018","47","IDA","832,031","213,145","229,605","316,694","2,938,763","291,340","752,634","0","0","116,253","5,690,465","1,029,845","0","6,720,310",
"2019","27","DECATUR","1,669,692","610,438","877,799","568,879","4,008,712","321,772","819,154","0","324,998","7,676","9,209,120","535,355","0","9,744,475",
"2017","10","BUCHANAN","3,320,326","567,660","1,006,120","1,222,950","5,717,294","654,387","1,503,208","67,666","3,406,413","902,922","18,368,946","2,719,049","0","21,087,995",
"2017","59","LUCAS","1,108,306","513,345","303,486","376,182","3,746,557","267,094","956,565","0","467,788","235,410","7,974,733","606,130","0","8,580,863",
"2018","11","BUENA VISTA","3,891,266","1,310,643","870,228","1,088,780","5,459,620","823,993","1,718,510","1,234,797","786,495","3,065,252","20,249,584","2,959,017","0","23,208,601",
"2011","27","DECATUR","971,026","1,245,030","1,029,816","350,637","2,996,264","271,656","612,387","0","0","106,828","7,583,644","471,753","0","8,055,397",
"2013","48","IOWA","3,283,685","977,398","761,654","973,367","6,123,355","568,675","1,452,388","69,486","1,113,526","60,252","15,383,786","1,224,698","0","16,608,484",
"2023","27","DECATUR","1,830,246","850,710","0","582,210","4,460,602","368,073","991,741","0","259,123","166,189","9,508,894","687,323","0","10,196,217",
"2022","92","WASHINGTON","8,186,236","2,255,655","526,875","1,185,534","8,304,603","868,911","2,223,260","5,628","12,560,442","2,964,759","39,081,903","2,686,118","9,405,000","51,173,021",
"2024","70","MUSCATINE","14,042,621","1,442,669","0","1,752,786","6,695,625","959,243","3,786,188","0","2,731,375","2,375,943","33,786,450","7,541,981","0","41,328,431",
"2019","44","HENRY","3,856,906","1,331,816","1,036,026","1,116,881","4,649,111","685,430","1,513,682","50,801","871,761","6,128,058","21,240,472","1,529,944","0","22,770,416",
"2013","61","MADISON","2,509,698","692,086","429,755","680,617","4,602,808","467,314","861,763","0","97,615","368,774","10,710,430","1,498,096","0","12,208,526",
"2022","4","APPANOOSE","2,626,444","460,521","480,534","652,834","4,116,231","583,542","975,653","0","651,353","6,323,472","16,870,584","811,391","0","17,681,975",
"2011","98","WORTH","1,628,087","947,770","754,033","737,163","3,056,894","313,553","1,234,318","0","580,693","3,593,005","12,845,516","979,268","0","13,824,784",
"2024","77","POLK","109,376,817","53,881,319","24,151,423","32,625,347","14,041,118","10,756,047","88,732,539","0","149,141,057","37,397,344","520,103,011","43,427,931","0","563,530,942",
"2020","70","MUSCATINE","11,972,993","1,300,403","1,320,205","1,245,642","7,786,804","920,925","3,205,611","0","2,202,463","3,533,593","33,488,639","4,819,710","0","38,308,349",
"2021","44","HENRY","4,410,880","1,364,460","1,029,935","1,311,744","4,535,283","777,487","1,693,634","61,835","878,741","1,086,295","17,150,294","1,663,570","0","18,813,864",
"2019","59","LUCAS","1,102,372","505,130","336,302","393,152","3,773,826","330,188","1,278,049","0","52,546","365,212","8,136,777","703,641","0","8,840,418",
"2015","48","IOWA","4,221,306","1,094,672","472,399","883,199","6,293,036","594,129","1,462,306","114,090","846,421","783,625","16,765,183","1,315,000","0","18,080,183",
"2014","65","MILLS","2,612,856","1,582,893","201,478","1,662,344","4,749,286","508,538","1,717,676","0","522,266","3,598,506","17,155,843","2,147,216","0","19,303,059",
"2011","59","LUCAS","984,923","612,698","969,501","177,514","2,797,783","252,438","929,094","0","41,899","474,398","7,240,248","930,241","0","8,170,489",
"2018","26","DAVIS","1,626,169","283,620","312,904","426,663","4,767,106","390,191","1,052,638","17,402","449,712","540,915","9,867,320","801,300","0","10,668,620",
"2019","12","BUTLER","2,306,770","1,291,170","690,907","2,760,163","6,521,991","523,529","1,714,770","15,451","587,615","1,618,378","18,030,744","4,345,678","0","22,376,422",
"2015","65","MILLS","2,901,204","1,557,210","2,072,669","787,286","4,445,435","490,505","1,346,149","0","535,436","2,244,021","16,379,915","2,138,815","0","18,518,730",
"2016","45","HOWARD","1,656,003","324,950","446,590","1,620,699","4,493,400","375,837","961,037","0","1,552,286","775,227","12,206,029","1,807,628","0","14,013,657",
"2018","62","MAHASKA","3,992,842","660,074","783,837","931,397","6,079,524","583,741","1,466,218","195,571","417,111","5,964,976","21,075,291","3,860,647","0","24,935,938",
"2023","93","WAYNE","2,348,332","1,366,676","0","508,076","4,147,845","301,305","1,184,478","966,595","253,700","501,128","11,578,135","869,823","0","12,447,958",
"2020","98","WORTH","2,368,265","899,691","264,025","978,459","4,268,062","433,493","1,560,226","0","2,275,546","988,165","14,035,932","1,339,259","0","15,375,191",
"2011","91","WARREN","4,140,083","2,940,796","3,375,299","1,061,226","5,655,210","769,103","2,455,298","282","25,905","818,788","21,241,990","2,337,413","0","23,579,403",
"2010","21","CLAY","2,085,449","424,474","1,471,024","1,124,760","4,493,648","402,058","1,383,266","0","220,309","1,501,991","13,106,979","2,210,320","0","15,317,299",
"2021","59","LUCAS","1,180,042","496,984","325,418","421,666","3,760,630","377,266","1,190,200","0","0","67,480","7,819,686","782,660","0","8,602,346",
"2022","60","LYON","3,966,648","605,881","354,644","1,015,864","7,506,379","507,287","1,352,375","113,324","818,187","769,567","17,010,156","4,879,752","0","21,889,908",
"2023","33","FAYETTE","5,177,803","388,174","0","1,770,321","9,195,021","691,780","3,815,968","15,380","1,014,019","3,832,085","25,900,551","2,856,803","0","28,757,354",
"2014","26","DAVIS","1,139,706","325,618","434,027","425,632","3,341,932","335,689","780,781","19,510","173,083","563,000","7,538,978","675,203","0","8,214,181",
"2018","79","POWESHIEK","3,094,293","325,026","417,020","610,792","5,382,525","655,514","1,263,348","284,926","745,108","775,670","13,554,222","3,689,051","0","17,243,273",
"2024","94","WEBSTER","9,140,441","4,286,411","0","2,575,670","9,044,550","1,291,086","3,850,804","28,738","3,526,566","19,737,470","53,481,736","17,402,634","0","70,884,370",
"2010","47","IDA","615,011","288,551","541,077","267,385","2,397,651","246,592","955,207","0","0","205,890","5,517,364","1,128,470","0","6,645,834",
"2019","79","POWESHIEK","3,149,716","278,942","464,051","632,971","6,826,131","653,088","1,183,016","398,479","748,108","486,159","14,820,661","3,503,818","0","18,324,479",
"2010","94","WEBSTER","4,565,859","2,386,662","4,102,886","1,165,178","6,799,145","741,069","2,411,702","152,118","573,435","2,179,415","25,077,469","2,030,777","0","27,108,246",
"2016","13","CALHOUN","2,440,069","1,564,563","460,236","678,979","4,721,327","566,047","1,084,326","31,685","0","463,052","12,010,284","1,433,371","0","13,443,655",
"2023","61","MADISON","4,311,590","827,225","0","1,488,238","6,975,312","528,427","3,600,237","0","771,218","1,495,731","19,997,978","2,405,349","0","22,403,327",
