"","County","Year","Population","Personal_Income","Personal_Income_Per_Capita","Total_Revenue","Revenue_Percent_Property_Tax","Revenue_Percent_Grant","Revenue_Percent_Activities","Revenue_Percent_Other","Total_Budget","Budgeted_Public_Safety_Percent","Budgeted_Mental_Health_Percent","Budgeted_Roads_Transportation_Percent","Budgeted_Administration_Percent","Budgeted_Debt_Percent","Budgeted_Physical_Health_Percent","Budgeted_Environment_Education_Percent","Budgeted_Services_to_Residents_Percent","Budgeted_Refunded_Programs_Percent","Budgeted_Projects_Percent","Budgeted_Transfers_Out_Percent","Budgeted_Refunded_Debt_Percent","Total_Expenditure","Actual_Public_Safety_Percent","Actual_Mental_Health_Percent","Actual_Roads_Transportation_Percent","Actual_Administration_Percent","Actual_Debt_Percent","Actual_Physical_Health_Percent","Actual_Environment_Education_Percent","Actual_Services_to_Residents_Percent","Actual_Refunded_Programs_Percent","Actual_Projects_Percent","Actual_Transfers_Out_Percent","Actual_Refunded_Debt_Percent"
"21","WAYNE",2010,6403,199383000,31052,8589814,0.25,0.3859,0.0359,0.3282,8013283,0.131761226952798,0.0806711805885303,0.329257184602116,0.0991363964058177,0.0519924230805277,0.0942740946500953,0.0641957859219498,0.0331529536645592,0.00421175690413031,0.0501181600599904,0.0612288371694847,0,9120005,0.110507943800469,0.0746407485522212,0.291937449595697,0.0756459015099224,0.0302428562265043,0.0932161769648153,0.0333432931231946,0.0211298129770762,0.00283026160621622,0.0725876795023687,0.193917876141515,0
"22","FLOYD",2020,15627,759162000,48695,27959403,0.2569,0.2404,0.0336,0.4691,28232818,0.124318160518018,0.0343245934571604,0.2338909279265,0.052435785899941,0.0560319554356919,0.0595079102624471,0.0291731416963053,0.0260023990520535,0,0.333827143999582,0.0504879817522998,0,24286626,0.137927145582099,0.030178996456733,0.258286474210127,0.0561392924649146,0.0649969246448642,0.0644126936364071,0.0328509608539284,0.028350253345195,0,0.268190484754861,0.0586667740508706,0
"23","CEDAR",2010,18499,726546000,39373,17677608,0.336,0.443,0.0691,0.1519,17818942,0.164670270546927,0.149122995068955,0.267492873594852,0.0796736977986684,0,0.071687252812204,0.0592421817187575,0.0285538838388946,0.000261294974752149,0.0837311216344944,0.0955644280114947,0,17742457,0.157332437102708,0.122760787866077,0.285938300428176,0.0685130588170511,0,0.0684201179126431,0.138205548419816,0.0264779562379664,0.000243483751996694,0.0353505154331218,0.0967577940304435,0
"24","TAMA",2012,17501,729112000,41512,17702562,0.4026,0.3817,0.0497,0.166,20182393,0.162607328080471,0.0948174976079398,0.360710843357376,0.0588144329564884,0,0.0748155582938059,0.0473660383087377,0.0252102909699558,0.000383998071982842,0.0717840545469509,0.103489957806292,0,17388286,0.164289740805966,0.102322391062581,0.40910202420181,0.058066275192391,0,0.0777515966783615,0.0395267250607679,0.0280449723451754,3.7496507706395e-05,0.0165543630924865,0.104304415052754,0
"25","MONTGOMERY",2020,10330,451094000,43668,14557251,0.4411,0.3878,0.0334,0.1377,13967542,0.256655107963878,0.0181438509366931,0.315763503700222,0.0978349662381541,0.0902870383350199,0.0389040534118315,0.0334118200611103,0.0395008656498044,0,0.0314607251583707,0.0780380685449165,0,16316025,0.196343533428026,0.0150650663994447,0.243551661633272,0.0706382222385661,0.077220830441238,0.0300339083814838,0.0239528316486399,0.0249292336828364,0,0.252072119281504,0.0661925928649901,0
"26","WRIGHT",2022,12740,892998000,70420,25684034,0.3278,0.3105,0.0387,0.323,24128167,0.188331048935462,0.0250278440131818,0.262701223843485,0.0784997882350532,0.147880607756072,0.0474939103330974,0.0591419149245776,0.0278771694509575,0.0024395553959818,0.0553295242029782,0.105277412909153,0,24796156,0.155236077721079,0.0251576091068309,0.264983693440225,0.10488944334759,0.143118514014834,0.0380052859806173,0.0520229022595276,0.0241005501013947,0.00176172468022866,0.0862664358136802,0.104457763533993,0
"27","GREENE",2014,9124,420854000,46207,10753824,0.4347,0.3178,0.0457,0.2018,10631164,0.135171934136281,0.0369184409157831,0.403645358118829,0.147114464606133,0,0.0461346471562286,0.0738522141131489,0.0321060798234323,0.00564378463167345,0.00606706847904895,0.113346008019442,0,10449116,0.143112489133052,0.0337433329288334,0.40844058004524,0.139253598103419,0,0.0383566418441522,0.0742840829788855,0.0323428316806895,0.00574211253851522,0.00653251432944184,0.118191816417772,0
"28","BENTON",2019,25645,1374289000,53541,25913516,0.3473,0.3387,0.0394,0.2746,29637928,0.171851487054021,0.033883913882239,0.278005230325143,0.0736212059088611,0.0246464597660133,0.0407062868902307,0.114457123993283,0.0276521354664199,0.00529726639460086,0.0624588196583783,0.16742007066081,0,26553078,0.163649464668465,0.0305982982462523,0.309813837778053,0.070082722613175,0.0228187105088156,0.0409431629734225,0.115159492997384,0.0278439283008923,0.00376773645601463,0.0365492090973408,0.178773436360184,0
"29","JEFFERSON",2019,18295,737540000,46777,13457649,0.4713,0.31,0.077,0.1417,14024945,0.240458411779868,0.0541387506332467,0.29896730432811,0.091375188993611,0.0268979307940245,0.0643946910308739,0.0568632532961805,0.0427574582288915,0,0.0528454835295254,0.0713015273856689,0,14712358,0.228409681167356,0.0613889357504759,0.290706968930473,0.0902300637328156,0.02564109709674,0.056881772452791,0.0545911131308795,0.0402333874692282,0,0.0839469104816509,0.0679700697875895,0
"30","UNION",2014,12627,462192000,36676,11813850,0.4241,0.33,0.0471,0.1988,11412966,0.147266714016321,0.0634971662931441,0.295966447284606,0.0854355476043651,0.134596475622551,0.0499402171179692,0.0999250326339358,0.0400977274443821,0,0.00824562169027753,0.0750290502924481,0,12380977,0.130044179873688,0.102859087776352,0.27017585122725,0.0835795107284344,0.124339056602722,0.0359747053887589,0.136689051276002,0.0362345394874734,0,0.023715818226623,0.0563881994126958,0
"31","EMMET",2020,9388,416674000,44636,10534674,0.4458,0.3343,0.0511,0.1688,10998806,0.206723802565478,0.0325106197890935,0.320881466588282,0.135072843361361,0,0.0760394355532773,0.0534394369716131,0.0518963603867547,0,0.0277175540690508,0.0957184807150885,0,11245333,0.195280388762165,0.0309787180157315,0.304901775696638,0.110606684568612,0,0.0616730513894075,0.0395713492877445,0.0444464383580282,-7.72765021720566e-05,0.119076064710578,0.0935428057132679,0
"32","CEDAR",2018,18564,983706000,53102,20197775,0.4129,0.3427,0.0652,0.1792,21830483,0.18794939168318,0.0512463237757955,0.301940181534234,0.0854024622359478,0,0.0647060809419562,0.0966430747317867,0.0249505702645242,0.00029774879465562,0.0760404614043583,0.110823704633562,0,20036192,0.196906328308293,0.0303391482772774,0.315020638652295,0.084706215632192,0,0.0629514330866863,0.0938842570484451,0.0257909786450439,0.000336491085731261,0.070817848022219,0.119246661241817,0
"33","CLAYTON",2016,17661,788204000,45143,18141974,0.4068,0.3578,0.0371,0.1983,17490222,0.16816035839911,0.0464736811230869,0.301301835962974,0.107920299696596,0.0201806472210587,0.044202926640954,0.0740731021024204,0.0403311633208544,7.43272441024476e-05,0.100084492924104,0.0971971653647392,0,16690102,0.16986558859856,0.0549019412823241,0.332089941691189,0.100440248957136,0.0203133569824798,0.0415059776147563,0.0742299238195189,0.0384978474068043,8.34626415105192e-05,0.0662149338572047,0.101856777148516,0
"34","DALLAS",2015,80631,4976595000,60565,40289425,0.4672,0.265,0.0836,0.1842,39218891,0.229039342290428,0.0599922879002366,0.17167084097304,0.0400785427614463,0.0478840158942791,0.0798464189107234,0.0795774413917008,0.0601908656723618,0.00147887914525681,0.0949282324173827,0.135313132643144,0,39922387,0.235128325367919,0.0902791709323393,0.158320367967977,0.0479780429962768,0.0470277240687036,0.0749486747874069,0.0857804920332043,0.0575448306735767,0.000260780999893619,0.0698469758333839,0.132884614339318,0
"35","JOHNSON",2014,142730,6648040000,46615,103547496,0.4382,0.1943,0.0488,0.3187,100677036,0.221255599936414,0.139450499913406,0.0841664826127778,0.0778500471547454,0.116258259728663,0.0885036981025147,0.0372657772721875,0.0226896429489641,2.9798255085698e-05,0.0633874243178951,0.149142769757346,0,100006939,0.204440613865804,0.0836816933273,0.0861522018987102,0.0755392783294767,0.115983391912435,0.0849806631917811,0.0358118550153805,0.0200560083135831,0.000379043698157785,0.0975682897363752,0.195406960710996,0
"36","BENTON",2015,25608,1241796000,48358,21185910,0.3868,0.2952,0.0473,0.2707,26277549,0.157183381144109,0.0731527890976438,0.275096052527578,0.0656867198687366,0.00372085691858095,0.036334020345657,0.0827397182286674,0.0283075487748115,0.00608884793631248,0.0834854879349668,0.188204577222937,0,22972938,0.159430848592374,0.0306494101886315,0.320354279456985,0.0640321233618443,0.00425544177240194,0.0338194008968291,0.155703506447456,0.0286974178052455,0.00405938500334611,0.0294660177988553,0.169532168676031,0
"37","ALLAMAKEE",2010,14330,496506000,34508,12681251,0.3693,0.3942,0.0447,0.1918,13769256,0.104710813714263,0.152781239596388,0.345301663357846,0.0682354950768582,0,0.0516045311380658,0.0625712819922877,0.0301496319045851,0.00591172101092463,0.0749495833326071,0.103784038876175,0,12076241,0.113826479613979,0.134365155514866,0.33161320646052,0.0671554169877862,0,0.0589046707497805,0.0660284934691184,0.0319447086224927,0.00130860256929288,0.0817529229501134,0.113100343062051,0
"38","STORY",2015,96636,3732666000,38495,40341469,0.5399,0.2387,0.0549,0.1665,40780461,0.257134636118998,0.163717423400388,0.141518753306884,0.121610199551202,0.0301210180041859,0.0580702851789733,0.0855314509563783,0.0332011205071958,0,0.0477912449297716,0.0613038680460233,0,42483507,0.24583471887102,0.208276119954033,0.130719575481374,0.110196434583426,0.027642162404342,0.0526990862595218,0.0823241122725579,0.025702656798084,0,0.054835962577195,0.0617691707984466,0
"39","SIOUX",2020,35872,1953931000,54447,32043972,0.3375,0.2777,0.0471,0.3377,35552432,0.13739062914177,0.0221402575216233,0.21456253681886,0.0775029117557978,0.0372227700203463,0.0360740441047746,0.052544956699446,0.0323474917271482,0.00682372446419418,0.255390404797061,0.128000272948979,0,29457415,0.156530842913406,0.0197021021702006,0.221068685083196,0.0879397258720767,0.0443694736961814,0.0272902764889587,0.0686719455865357,0.0366102388821287,0.0034210741166528,0.181845895167651,0.152549740023013,0
